ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022678	Nde1	GO:0007020	microtubule nucleation	microtubule_nucleation
ENSMUSG00000055717	Slain1	GO:0007020	microtubule nucleation	microtubule_nucleation
ENSMUSG00000040407	Akap9	GO:0007020	microtubule nucleation	microtubule_nucleation
ENSMUSG00000051786	Tubgcp6	GO:0007020	microtubule nucleation	microtubule_nucleation
ENSMUSG00000024542	Cep192	GO:0007020	microtubule nucleation	microtubule_nucleation
ENSMUSG00000019988	Nedd1	GO:0007020	microtubule nucleation	microtubule_nucleation
ENSMUSG00000036087	Slain2	GO:0007020	microtubule nucleation	microtubule_nucleation
ENSMUSG00000027469	Tpx2	GO:0007020	microtubule nucleation	microtubule_nucleation
ENSMUSG00000035198	Tubg1	GO:0007020	microtubule nucleation	microtubule_nucleation
ENSMUSG00000045007	Tubg2	GO:0007020	microtubule nucleation	microtubule_nucleation
ENSMUSG00000018736	Ndel1	GO:0007020	microtubule nucleation	microtubule_nucleation
ENSMUSG00000048445	Ccdc57	GO:0007020	microtubule nucleation	microtubule_nucleation
ENSMUSG00000025162	Csnk1d	GO:0007020	microtubule nucleation	microtubule_nucleation
ENSMUSG00000000759	Tubgcp3	GO:0007020	microtubule nucleation	microtubule_nucleation
ENSMUSG00000033790	Tubgcp5	GO:0007020	microtubule nucleation	microtubule_nucleation
ENSMUSG00000002546	Golga2	GO:0007020	microtubule nucleation	microtubule_nucleation
ENSMUSG00000026966	Ssna1	GO:0007020	microtubule nucleation	microtubule_nucleation
ENSMUSG00000025474	Tubgcp2	GO:0007020	microtubule nucleation	microtubule_nucleation
ENSMUSG00000027285	Haus2	GO:0007020	microtubule nucleation	microtubule_nucleation
ENSMUSG00000027263	Tubgcp4	GO:0007020	microtubule nucleation	microtubule_nucleation
