ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022365	Derl1	GO:0051787	misfolded protein binding	misfolded_protein_binding
ENSMUSG00000022136	Dnajc3	GO:0051787	misfolded protein binding	misfolded_protein_binding
ENSMUSG00000022037	Clu	GO:0051787	misfolded protein binding	misfolded_protein_binding
ENSMUSG00000014905	Dnajb9	GO:0051787	misfolded protein binding	misfolded_protein_binding
ENSMUSG00000004460	Dnajb11	GO:0051787	misfolded protein binding	misfolded_protein_binding
ENSMUSG00000030104	Edem1	GO:0051787	misfolded protein binding	misfolded_protein_binding
ENSMUSG00000022769	Sdf2l1	GO:0051787	misfolded protein binding	misfolded_protein_binding
ENSMUSG00000031161	Hdac6	GO:0051787	misfolded protein binding	misfolded_protein_binding
ENSMUSG00000009092	Derl3	GO:0051787	misfolded protein binding	misfolded_protein_binding
ENSMUSG00000026849	Tor1a	GO:0051787	misfolded protein binding	misfolded_protein_binding
ENSMUSG00000091971	Hspa1a	GO:0051787	misfolded protein binding	misfolded_protein_binding
ENSMUSG00000024392	Bag6	GO:0051787	misfolded protein binding	misfolded_protein_binding
ENSMUSG00000039615	Stub1	GO:0051787	misfolded protein binding	misfolded_protein_binding
ENSMUSG00000018442	Derl2	GO:0051787	misfolded protein binding	misfolded_protein_binding
ENSMUSG00000002064	Sdf2	GO:0051787	misfolded protein binding	misfolded_protein_binding
ENSMUSG00000026864	Hspa5	GO:0051787	misfolded protein binding	misfolded_protein_binding
ENSMUSG00000027006	Dnajc10	GO:0051787	misfolded protein binding	misfolded_protein_binding
