ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022452	Smdt1	GO:0006851	mitochondrial calcium ion transmembrane transport	mitochondrial_calcium_ion_transmembrane_transport
ENSMUSG00000021973	Micu2	GO:0006851	mitochondrial calcium ion transmembrane transport	mitochondrial_calcium_ion_transmembrane_transport
ENSMUSG00000021371	Mcur1	GO:0006851	mitochondrial calcium ion transmembrane transport	mitochondrial_calcium_ion_transmembrane_transport
ENSMUSG00000052271	Bhlha15	GO:0006851	mitochondrial calcium ion transmembrane transport	mitochondrial_calcium_ion_transmembrane_transport
ENSMUSG00000046329	Slc25a23	GO:0006851	mitochondrial calcium ion transmembrane transport	mitochondrial_calcium_ion_transmembrane_transport
ENSMUSG00000009647	Mcu	GO:0006851	mitochondrial calcium ion transmembrane transport	mitochondrial_calcium_ion_transmembrane_transport
ENSMUSG00000020111	Micu1	GO:0006851	mitochondrial calcium ion transmembrane transport	mitochondrial_calcium_ion_transmembrane_transport
ENSMUSG00000079055	Slc8a3	GO:0006851	mitochondrial calcium ion transmembrane transport	mitochondrial_calcium_ion_transmembrane_transport
ENSMUSG00000027010	Slc25a12	GO:0006851	mitochondrial calcium ion transmembrane transport	mitochondrial_calcium_ion_transmembrane_transport
ENSMUSG00000041028	Ghitm	GO:0006851	mitochondrial calcium ion transmembrane transport	mitochondrial_calcium_ion_transmembrane_transport
ENSMUSG00000039478	Micu3	GO:0006851	mitochondrial calcium ion transmembrane transport	mitochondrial_calcium_ion_transmembrane_transport
ENSMUSG00000020402	Vdac1	GO:0006851	mitochondrial calcium ion transmembrane transport	mitochondrial_calcium_ion_transmembrane_transport
ENSMUSG00000027994	Mcub	GO:0006851	mitochondrial calcium ion transmembrane transport	mitochondrial_calcium_ion_transmembrane_transport
ENSMUSG00000032754	Slc8b1	GO:0006851	mitochondrial calcium ion transmembrane transport	mitochondrial_calcium_ion_transmembrane_transport
ENSMUSG00000005299	Letm1	GO:0006851	mitochondrial calcium ion transmembrane transport	mitochondrial_calcium_ion_transmembrane_transport
