ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022982	Sod1	GO:0005758	mitochondrial intermembrane space	mitochondrial_intermembrane_space
ENSMUSG00000058927	Gm10053	GO:0005758	mitochondrial intermembrane space	mitochondrial_intermembrane_space
ENSMUSG00000021973	Micu2	GO:0005758	mitochondrial intermembrane space	mitochondrial_intermembrane_space
ENSMUSG00000054021	Sirt5	GO:0005758	mitochondrial intermembrane space	mitochondrial_intermembrane_space
ENSMUSG00000032026	Rexo2	GO:0005758	mitochondrial intermembrane space	mitochondrial_intermembrane_space
ENSMUSG00000033938	Ndufb7	GO:0005758	mitochondrial intermembrane space	mitochondrial_intermembrane_space
ENSMUSG00000022200	Golph3	GO:0005758	mitochondrial intermembrane space	mitochondrial_intermembrane_space
ENSMUSG00000016257	Prelid3b	GO:0005758	mitochondrial intermembrane space	mitochondrial_intermembrane_space
ENSMUSG00000036932	Aifm1	GO:0005758	mitochondrial intermembrane space	mitochondrial_intermembrane_space
ENSMUSG00000052337	Immt	GO:0005758	mitochondrial intermembrane space	mitochondrial_intermembrane_space
ENSMUSG00000021710	Nln	GO:0005758	mitochondrial intermembrane space	mitochondrial_intermembrane_space
ENSMUSG00000020464	Pnpt1	GO:0005758	mitochondrial intermembrane space	mitochondrial_intermembrane_space
ENSMUSG00000024530	Prelid3a	GO:0005758	mitochondrial intermembrane space	mitochondrial_intermembrane_space
ENSMUSG00000048007	Timm8a1	GO:0005758	mitochondrial intermembrane space	mitochondrial_intermembrane_space
ENSMUSG00000022742	Cpox	GO:0005758	mitochondrial intermembrane space	mitochondrial_intermembrane_space
ENSMUSG00000021591	Glrx	GO:0005758	mitochondrial intermembrane space	mitochondrial_intermembrane_space
ENSMUSG00000056671	Prelid2	GO:0005758	mitochondrial intermembrane space	mitochondrial_intermembrane_space
ENSMUSG00000089847	Timm10b	GO:0005758	mitochondrial intermembrane space	mitochondrial_intermembrane_space
ENSMUSG00000110234	Gm45799	GO:0005758	mitochondrial intermembrane space	mitochondrial_intermembrane_space
ENSMUSG00000034203	Chchd4	GO:0005758	mitochondrial intermembrane space	mitochondrial_intermembrane_space
ENSMUSG00000021079	Timm9	GO:0005758	mitochondrial intermembrane space	mitochondrial_intermembrane_space
ENSMUSG00000001555	Fkbp10	GO:0005758	mitochondrial intermembrane space	mitochondrial_intermembrane_space
ENSMUSG00000005981	Trap1	GO:0005758	mitochondrial intermembrane space	mitochondrial_intermembrane_space
ENSMUSG00000063694	Cycs	GO:0005758	mitochondrial intermembrane space	mitochondrial_intermembrane_space
