ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000055172	C1ra	GO:0140313	molecular sequestering activity	molecular_sequestering_activity
ENSMUSG00000098470	C1rb	GO:0140313	molecular sequestering activity	molecular_sequestering_activity
ENSMUSG00000025289	Prdx4	GO:0140313	molecular sequestering activity	molecular_sequestering_activity
ENSMUSG00000062210	Tnfaip8	GO:0140313	molecular sequestering activity	molecular_sequestering_activity
ENSMUSG00000063802	Hspbp1	GO:0140313	molecular sequestering activity	molecular_sequestering_activity
ENSMUSG00000050747	Trim15	GO:0140313	molecular sequestering activity	molecular_sequestering_activity
ENSMUSG00000019861	Gopc	GO:0140313	molecular sequestering activity	molecular_sequestering_activity
ENSMUSG00000040483	Xaf1	GO:0140313	molecular sequestering activity	molecular_sequestering_activity
ENSMUSG00000035203	Epn1	GO:0140313	molecular sequestering activity	molecular_sequestering_activity
ENSMUSG00000045752	Tssc4	GO:0140313	molecular sequestering activity	molecular_sequestering_activity
