ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000032796	Lama1	GO:0002011	morphogenesis of an epithelial sheet	morphogenesis_of_an_epithelial_sheet
ENSMUSG00000027878	Notch2	GO:0002011	morphogenesis of an epithelial sheet	morphogenesis_of_an_epithelial_sheet
ENSMUSG00000041225	Arhgap12	GO:0002011	morphogenesis of an epithelial sheet	morphogenesis_of_an_epithelial_sheet
ENSMUSG00000039952	Dag1	GO:0002011	morphogenesis of an epithelial sheet	morphogenesis_of_an_epithelial_sheet
ENSMUSG00000021112	Pals1	GO:0002011	morphogenesis of an epithelial sheet	morphogenesis_of_an_epithelial_sheet
ENSMUSG00000015605	Srf	GO:0002011	morphogenesis of an epithelial sheet	morphogenesis_of_an_epithelial_sheet
ENSMUSG00000027162	Lin7c	GO:0002011	morphogenesis of an epithelial sheet	morphogenesis_of_an_epithelial_sheet
ENSMUSG00000038692	Hoxb4	GO:0002011	morphogenesis of an epithelial sheet	morphogenesis_of_an_epithelial_sheet
ENSMUSG00000075588	Hoxb2	GO:0002011	morphogenesis of an epithelial sheet	morphogenesis_of_an_epithelial_sheet
ENSMUSG00000027276	Jag1	GO:0002011	morphogenesis of an epithelial sheet	morphogenesis_of_an_epithelial_sheet
