ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022677	Cep20	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000022155	Mroh2b	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000021363	Mak	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000038498	Catsper1	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000037101	Ttc29	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000071550	Cfap44	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000022783	Spag6l	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000033210	Slc9c1	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000036438	Calm2	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000022442	Ttll1	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000035984	Nme5	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000032965	Ift57	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000072663	Spef2	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000026495	Efcab2	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000031727	Pmfbp1	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000022375	Dnaaf11	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000004364	Cul3	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000022388	Ttll8	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000041566	Tssk1	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000019945	Cabcoco1	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000035783	Acta2	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000011154	Cfap161	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000040473	Cfap69	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000032855	Pkd1	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000020462	Cfap36	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000034462	Pkd2	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000060798	Intu	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000069041	Slc25a31	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000050089	Akap4	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000022262	Dnah5	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000048794	Cfap100	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000022911	Arl13b	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000022236	Ropn1l	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000047139	Cd24a	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000048402	Gli2	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000074673	Ttll9	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000001175	Calm1	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000001948	Spa17	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000018581	Dnah11	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000053070	Cfap300	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000047014	Catsperb	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000034574	Daam1	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000026809	Spaca9	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000029442	Wdr66	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000044056	Efcab9	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000070331	Qrich2	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000023806	Rsph3b	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000027867	Spag17	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000037994	Slc9b2	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000040866	Rsph6a	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000073471	Rsph3a	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000030344	Akap3	GO:0031514	motile cilium	motile_cilium
ENSMUSG00000073077	Cfap47	GO:0031514	motile cilium	motile_cilium
