ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000026322	Htr4	GO:0070254	mucus secretion	mucus_secretion
ENSMUSG00000038160	Atg5	GO:0070254	mucus secretion	mucus_secretion
ENSMUSG00000020581	Agr2	GO:0070254	mucus secretion	mucus_secretion
ENSMUSG00000030314	Atg7	GO:0070254	mucus secretion	mucus_secretion
ENSMUSG00000031812	Map1lc3b	GO:0070254	mucus secretion	mucus_secretion
ENSMUSG00000006519	Cyba	GO:0070254	mucus secretion	mucus_secretion
ENSMUSG00000019842	Traf3ip2	GO:0070254	mucus secretion	mucus_secretion
ENSMUSG00000017697	Ada	GO:0070254	mucus secretion	mucus_secretion
ENSMUSG00000045038	Prkce	GO:0070254	mucus secretion	mucus_secretion
ENSMUSG00000050732	Vamp8	GO:0070254	mucus secretion	mucus_secretion
ENSMUSG00000030873	Scnn1b	GO:0070254	mucus secretion	mucus_secretion
ENSMUSG00000042429	Adora1	GO:0070254	mucus secretion	mucus_secretion
ENSMUSG00000031075	Ano1	GO:0070254	mucus secretion	mucus_secretion
