ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000045629	Sh3tc2	GO:0022011	myelination in peripheral nervous system	myelination_in_peripheral_nervous_system
ENSMUSG00000071176	Arhgef10	GO:0022011	myelination in peripheral nervous system	myelination_in_peripheral_nervous_system
ENSMUSG00000020758	Itgb4	GO:0022011	myelination in peripheral nervous system	myelination_in_peripheral_nervous_system
ENSMUSG00000030890	Ilk	GO:0022011	myelination in peripheral nervous system	myelination_in_peripheral_nervous_system
ENSMUSG00000040537	Adam22	GO:0022011	myelination in peripheral nervous system	myelination_in_peripheral_nervous_system
ENSMUSG00000039952	Dag1	GO:0022011	myelination in peripheral nervous system	myelination_in_peripheral_nervous_system
ENSMUSG00000059146	Ntrk3	GO:0022011	myelination in peripheral nervous system	myelination_in_peripheral_nervous_system
ENSMUSG00000017167	Cntnap1	GO:0022011	myelination in peripheral nervous system	myelination_in_peripheral_nervous_system
ENSMUSG00000055254	Ntrk2	GO:0022011	myelination in peripheral nervous system	myelination_in_peripheral_nervous_system
ENSMUSG00000026697	Myoc	GO:0022011	myelination in peripheral nervous system	myelination_in_peripheral_nervous_system
ENSMUSG00000024259	Slc25a46	GO:0022011	myelination in peripheral nervous system	myelination_in_peripheral_nervous_system
ENSMUSG00000039116	Adgrg6	GO:0022011	myelination in peripheral nervous system	myelination_in_peripheral_nervous_system
ENSMUSG00000022565	Plec	GO:0022011	myelination in peripheral nervous system	myelination_in_peripheral_nervous_system
ENSMUSG00000062991	Nrg1	GO:0022011	myelination in peripheral nervous system	myelination_in_peripheral_nervous_system
ENSMUSG00000025812	Pard3	GO:0022011	myelination in peripheral nervous system	myelination_in_peripheral_nervous_system
ENSMUSG00000090125	Pou3f1	GO:0022011	myelination in peripheral nervous system	myelination_in_peripheral_nervous_system
ENSMUSG00000095139	Pou3f2	GO:0022011	myelination in peripheral nervous system	myelination_in_peripheral_nervous_system
ENSMUSG00000036560	Lgi4	GO:0022011	myelination in peripheral nervous system	myelination_in_peripheral_nervous_system
ENSMUSG00000033953	Ppp3r1	GO:0022011	myelination in peripheral nervous system	myelination_in_peripheral_nervous_system
ENSMUSG00000015149	Sirt2	GO:0022011	myelination in peripheral nervous system	myelination_in_peripheral_nervous_system
ENSMUSG00000020716	Nf1	GO:0022011	myelination in peripheral nervous system	myelination_in_peripheral_nervous_system
