ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000019433	Gipc1	GO:0017022	myosin binding	myosin_binding
ENSMUSG00000020061	Mybpc1	GO:0017022	myosin binding	myosin_binding
ENSMUSG00000067851	Arfgef1	GO:0017022	myosin binding	myosin_binding
ENSMUSG00000027993	Trim2	GO:0017022	myosin binding	myosin_binding
ENSMUSG00000036099	Vezt	GO:0017022	myosin binding	myosin_binding
ENSMUSG00000041734	Kirrel	GO:0017022	myosin binding	myosin_binding
ENSMUSG00000069170	Adgrv1	GO:0017022	myosin binding	myosin_binding
ENSMUSG00000051675	Trim32	GO:0017022	myosin binding	myosin_binding
ENSMUSG00000006930	Hap1	GO:0017022	myosin binding	myosin_binding
ENSMUSG00000002100	Mybpc3	GO:0017022	myosin binding	myosin_binding
ENSMUSG00000045103	Dmd	GO:0017022	myosin binding	myosin_binding
ENSMUSG00000026609	Ush2a	GO:0017022	myosin binding	myosin_binding
ENSMUSG00000026028	Trak2	GO:0017022	myosin binding	myosin_binding
ENSMUSG00000008859	Rala	GO:0017022	myosin binding	myosin_binding
ENSMUSG00000034839	Larp6	GO:0017022	myosin binding	myosin_binding
ENSMUSG00000029761	Cald1	GO:0017022	myosin binding	myosin_binding
ENSMUSG00000027365	Trpm7	GO:0017022	myosin binding	myosin_binding
ENSMUSG00000032536	Trak1	GO:0017022	myosin binding	myosin_binding
ENSMUSG00000036570	Fxyd1	GO:0017022	myosin binding	myosin_binding
ENSMUSG00000026303	Mlph	GO:0017022	myosin binding	myosin_binding
ENSMUSG00000007815	Rhoa	GO:0017022	myosin binding	myosin_binding
ENSMUSG00000026114	Cnga3	GO:0017022	myosin binding	myosin_binding
ENSMUSG00000041794	Myrip	GO:0017022	myosin binding	myosin_binding
ENSMUSG00000007207	Stx1a	GO:0017022	myosin binding	myosin_binding
ENSMUSG00000074582	Arfgef2	GO:0017022	myosin binding	myosin_binding
ENSMUSG00000027273	Snap25	GO:0017022	myosin binding	myosin_binding
ENSMUSG00000068614	Actc1	GO:0017022	myosin binding	myosin_binding
ENSMUSG00000006649	Nphs1	GO:0017022	myosin binding	myosin_binding
ENSMUSG00000020894	Vamp2	GO:0017022	myosin binding	myosin_binding
