ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000076256	Mir19b-1	GO:0002903	negative regulation of B cell apoptotic process	negative_regulation_of_B_cell_apoptotic_process
ENSMUSG00000076062	Mir92-1	GO:0002903	negative regulation of B cell apoptotic process	negative_regulation_of_B_cell_apoptotic_process
ENSMUSG00000025986	Slc39a10	GO:0002903	negative regulation of B cell apoptotic process	negative_regulation_of_B_cell_apoptotic_process
ENSMUSG00000027720	Il2	GO:0002903	negative regulation of B cell apoptotic process	negative_regulation_of_B_cell_apoptotic_process
ENSMUSG00000038150	Ormdl3	GO:0002903	negative regulation of B cell apoptotic process	negative_regulation_of_B_cell_apoptotic_process
ENSMUSG00000070106	Mir363	GO:0002903	negative regulation of B cell apoptotic process	negative_regulation_of_B_cell_apoptotic_process
ENSMUSG00000065613	Mir92-2	GO:0002903	negative regulation of B cell apoptotic process	negative_regulation_of_B_cell_apoptotic_process
ENSMUSG00000065473	Mir19b-2	GO:0002903	negative regulation of B cell apoptotic process	negative_regulation_of_B_cell_apoptotic_process
ENSMUSG00000076041	Mir20b	GO:0002903	negative regulation of B cell apoptotic process	negative_regulation_of_B_cell_apoptotic_process
ENSMUSG00000077111	Mir18b	GO:0002903	negative regulation of B cell apoptotic process	negative_regulation_of_B_cell_apoptotic_process
ENSMUSG00000065456	Mir106a	GO:0002903	negative regulation of B cell apoptotic process	negative_regulation_of_B_cell_apoptotic_process
ENSMUSG00000102037	Bcl2a1a	GO:0002903	negative regulation of B cell apoptotic process	negative_regulation_of_B_cell_apoptotic_process
ENSMUSG00000030067	Foxp1	GO:0002903	negative regulation of B cell apoptotic process	negative_regulation_of_B_cell_apoptotic_process
ENSMUSG00000038894	Irs2	GO:0002903	negative regulation of B cell apoptotic process	negative_regulation_of_B_cell_apoptotic_process
ENSMUSG00000095567	Noc2l	GO:0002903	negative regulation of B cell apoptotic process	negative_regulation_of_B_cell_apoptotic_process
ENSMUSG00000018914	Il3	GO:0002903	negative regulation of B cell apoptotic process	negative_regulation_of_B_cell_apoptotic_process
ENSMUSG00000026285	Pdcd1	GO:0002903	negative regulation of B cell apoptotic process	negative_regulation_of_B_cell_apoptotic_process
ENSMUSG00000057329	Bcl2	GO:0002903	negative regulation of B cell apoptotic process	negative_regulation_of_B_cell_apoptotic_process
ENSMUSG00000062007	Hsh2d	GO:0002903	negative regulation of B cell apoptotic process	negative_regulation_of_B_cell_apoptotic_process
ENSMUSG00000065527	Mir93	GO:0002903	negative regulation of B cell apoptotic process	negative_regulation_of_B_cell_apoptotic_process
ENSMUSG00000065514	Mir106b	GO:0002903	negative regulation of B cell apoptotic process	negative_regulation_of_B_cell_apoptotic_process
ENSMUSG00000020897	Aurkb	GO:0002903	negative regulation of B cell apoptotic process	negative_regulation_of_B_cell_apoptotic_process
