ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000075486	Commd6	GO:0032088	negative regulation of NF-kappaB transcription factor activity	negative_regulation_of_NF-kappaB_transcription_factor_activity
ENSMUSG00000021025	Nfkbia	GO:0032088	negative regulation of NF-kappaB transcription factor activity	negative_regulation_of_NF-kappaB_transcription_factor_activity
ENSMUSG00000022661	Cd200	GO:0032088	negative regulation of NF-kappaB transcription factor activity	negative_regulation_of_NF-kappaB_transcription_factor_activity
ENSMUSG00000028133	Rwdd3	GO:0032088	negative regulation of NF-kappaB transcription factor activity	negative_regulation_of_NF-kappaB_transcription_factor_activity
ENSMUSG00000045322	Tlr9	GO:0032088	negative regulation of NF-kappaB transcription factor activity	negative_regulation_of_NF-kappaB_transcription_factor_activity
ENSMUSG00000020063	Sirt1	GO:0032088	negative regulation of NF-kappaB transcription factor activity	negative_regulation_of_NF-kappaB_transcription_factor_activity
ENSMUSG00000047638	Nr1h4	GO:0032088	negative regulation of NF-kappaB transcription factor activity	negative_regulation_of_NF-kappaB_transcription_factor_activity
ENSMUSG00000021709	Erbin	GO:0032088	negative regulation of NF-kappaB transcription factor activity	negative_regulation_of_NF-kappaB_transcription_factor_activity
ENSMUSG00000027466	Rbck1	GO:0032088	negative regulation of NF-kappaB transcription factor activity	negative_regulation_of_NF-kappaB_transcription_factor_activity
ENSMUSG00000032691	Nlrp3	GO:0032088	negative regulation of NF-kappaB transcription factor activity	negative_regulation_of_NF-kappaB_transcription_factor_activity
ENSMUSG00000046034	Otulin	GO:0032088	negative regulation of NF-kappaB transcription factor activity	negative_regulation_of_NF-kappaB_transcription_factor_activity
ENSMUSG00000031392	Irak1	GO:0032088	negative regulation of NF-kappaB transcription factor activity	negative_regulation_of_NF-kappaB_transcription_factor_activity
ENSMUSG00000039168	Dap	GO:0032088	negative regulation of NF-kappaB transcription factor activity	negative_regulation_of_NF-kappaB_transcription_factor_activity
ENSMUSG00000039521	Foxp3	GO:0032088	negative regulation of NF-kappaB transcription factor activity	negative_regulation_of_NF-kappaB_transcription_factor_activity
ENSMUSG00000025408	Ddit3	GO:0032088	negative regulation of NF-kappaB transcription factor activity	negative_regulation_of_NF-kappaB_transcription_factor_activity
ENSMUSG00000116429	Ddit3	GO:0032088	negative regulation of NF-kappaB transcription factor activity	negative_regulation_of_NF-kappaB_transcription_factor_activity
