ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000052085	Dock8	GO:0070233	negative regulation of T cell apoptotic process	negative_regulation_of_T_cell_apoptotic_process
ENSMUSG00000058499	Pip	GO:0070233	negative regulation of T cell apoptotic process	negative_regulation_of_T_cell_apoptotic_process
ENSMUSG00000003882	Il7r	GO:0070233	negative regulation of T cell apoptotic process	negative_regulation_of_T_cell_apoptotic_process
ENSMUSG00000045827	Serpinb9	GO:0070233	negative regulation of T cell apoptotic process	negative_regulation_of_T_cell_apoptotic_process
ENSMUSG00000031551	Ido1	GO:0070233	negative regulation of T cell apoptotic process	negative_regulation_of_T_cell_apoptotic_process
ENSMUSG00000026778	Prkcq	GO:0070233	negative regulation of T cell apoptotic process	negative_regulation_of_T_cell_apoptotic_process
ENSMUSG00000048251	Bcl11b	GO:0070233	negative regulation of T cell apoptotic process	negative_regulation_of_T_cell_apoptotic_process
ENSMUSG00000026700	Tnfsf4	GO:0070233	negative regulation of T cell apoptotic process	negative_regulation_of_T_cell_apoptotic_process
ENSMUSG00000053175	Bcl3	GO:0070233	negative regulation of T cell apoptotic process	negative_regulation_of_T_cell_apoptotic_process
ENSMUSG00000057329	Bcl2	GO:0070233	negative regulation of T cell apoptotic process	negative_regulation_of_T_cell_apoptotic_process
ENSMUSG00000028386	Slc46a2	GO:0070233	negative regulation of T cell apoptotic process	negative_regulation_of_T_cell_apoptotic_process
ENSMUSG00000061311	Rag1	GO:0070233	negative regulation of T cell apoptotic process	negative_regulation_of_T_cell_apoptotic_process
ENSMUSG00000030336	Cd27	GO:0070233	negative regulation of T cell apoptotic process	negative_regulation_of_T_cell_apoptotic_process
ENSMUSG00000035042	Ccl5	GO:0070233	negative regulation of T cell apoptotic process	negative_regulation_of_T_cell_apoptotic_process
