ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000048661	Lemd3	GO:0032926	negative regulation of activin receptor signaling pathway	negative_regulation_of_activin_receptor_signaling_pathway
ENSMUSG00000031111	Igsf1	GO:0032926	negative regulation of activin receptor signaling pathway	negative_regulation_of_activin_receptor_signaling_pathway
ENSMUSG00000021765	Fst	GO:0032926	negative regulation of activin receptor signaling pathway	negative_regulation_of_activin_receptor_signaling_pathway
ENSMUSG00000021139	Gm20498	GO:0032926	negative regulation of activin receptor signaling pathway	negative_regulation_of_activin_receptor_signaling_pathway
ENSMUSG00000038192	Cer1	GO:0032926	negative regulation of activin receptor signaling pathway	negative_regulation_of_activin_receptor_signaling_pathway
ENSMUSG00000029050	Ski	GO:0032926	negative regulation of activin receptor signaling pathway	negative_regulation_of_activin_receptor_signaling_pathway
ENSMUSG00000040003	Magi2	GO:0032926	negative regulation of activin receptor signaling pathway	negative_regulation_of_activin_receptor_signaling_pathway
ENSMUSG00000053226	Dand5	GO:0032926	negative regulation of activin receptor signaling pathway	negative_regulation_of_activin_receptor_signaling_pathway
ENSMUSG00000020325	Fstl3	GO:0032926	negative regulation of activin receptor signaling pathway	negative_regulation_of_activin_receptor_signaling_pathway
ENSMUSG00000065551	Mir210	GO:0032926	negative regulation of activin receptor signaling pathway	negative_regulation_of_activin_receptor_signaling_pathway
ENSMUSG00000026836	Acvr1	GO:0032926	negative regulation of activin receptor signaling pathway	negative_regulation_of_activin_receptor_signaling_pathway
