ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000061603	Akap6	GO:0007194	negative regulation of adenylate cyclase activity	negative_regulation_of_adenylate_cyclase_activity
ENSMUSG00000022206	Npr3	GO:0007194	negative regulation of adenylate cyclase activity	negative_regulation_of_adenylate_cyclase_activity
ENSMUSG00000040407	Akap9	GO:0007194	negative regulation of adenylate cyclase activity	negative_regulation_of_adenylate_cyclase_activity
ENSMUSG00000069170	Adgrv1	GO:0007194	negative regulation of adenylate cyclase activity	negative_regulation_of_adenylate_cyclase_activity
ENSMUSG00000020793	Galr2	GO:0007194	negative regulation of adenylate cyclase activity	negative_regulation_of_adenylate_cyclase_activity
ENSMUSG00000024553	Galr1	GO:0007194	negative regulation of adenylate cyclase activity	negative_regulation_of_adenylate_cyclase_activity
ENSMUSG00000021057	Akap5	GO:0007194	negative regulation of adenylate cyclase activity	negative_regulation_of_adenylate_cyclase_activity
ENSMUSG00000114755	Galr3	GO:0007194	negative regulation of adenylate cyclase activity	negative_regulation_of_adenylate_cyclase_activity
ENSMUSG00000051431	Gpr87	GO:0007194	negative regulation of adenylate cyclase activity	negative_regulation_of_adenylate_cyclase_activity
ENSMUSG00000036362	P2ry13	GO:0007194	negative regulation of adenylate cyclase activity	negative_regulation_of_adenylate_cyclase_activity
ENSMUSG00000024462	Gabbr1	GO:0007194	negative regulation of adenylate cyclase activity	negative_regulation_of_adenylate_cyclase_activity
ENSMUSG00000035863	Palm	GO:0007194	negative regulation of adenylate cyclase activity	negative_regulation_of_adenylate_cyclase_activity
ENSMUSG00000032259	Drd2	GO:0007194	negative regulation of adenylate cyclase activity	negative_regulation_of_adenylate_cyclase_activity
ENSMUSG00000039059	Hrh3	GO:0007194	negative regulation of adenylate cyclase activity	negative_regulation_of_adenylate_cyclase_activity
