ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000056201	Cfl1	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000031385	Plxnb3	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000026235	Epha4	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000036006	Ripor2	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000006369	Fbln1	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000041417	Pik3r1	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000030084	Plxna1	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000036606	Plxnb2	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000015452	Ager	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000021451	Sema4d	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000056544	Defb21	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000050272	Dscam	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000074785	Plxnc1	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000028364	Tnc	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000031398	Plxna3	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000031841	Cdh13	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000022309	Angpt1	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000021549	Rasa1	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000022877	Hrg	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000060459	Kng2	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000022875	Kng1	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000024696	Lpxn	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000031740	Mmp2	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000015829	Tnr	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000024190	Dusp1	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000018166	Erbb3	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000053646	Plxnb1	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000053062	Jam2	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000026640	Plxna2	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000002900	Lamb1	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000020659	Cbll1	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000079495	Nat8f6	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000079494	Nat8f5	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000030004	Nat8	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000033634	Nat8f2	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000057103	Nat8f1	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000028664	Ephb2	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000032087	Dscaml1	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000028763	Hspg2	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000030671	Pde3b	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000029245	Epha5	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000054855	Rnd1	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000001348	Acp5	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000000530	Acvrl1	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000030123	Plxnd1	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000025608	Podxl	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000029765	Plxna4	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000028519	Dab1	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000090588	Muc21	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000018569	Cldn7	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000010435	Spaca7	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000054693	Adam10	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000056050	Mia3	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000048826	Dact2	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000051457	Spn	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
ENSMUSG00000027239	Mdk	GO:0007162	negative regulation of cell adhesion	negative_regulation_of_cell_adhesion
