ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000031712	Il15	GO:0120163	negative regulation of cold-induced thermogenesis	negative_regulation_of_cold-induced_thermogenesis
ENSMUSG00000038910	Plcl2	GO:0120163	negative regulation of cold-induced thermogenesis	negative_regulation_of_cold-induced_thermogenesis
ENSMUSG00000006717	Acot13	GO:0120163	negative regulation of cold-induced thermogenesis	negative_regulation_of_cold-induced_thermogenesis
ENSMUSG00000052593	Adam17	GO:0120163	negative regulation of cold-induced thermogenesis	negative_regulation_of_cold-induced_thermogenesis
ENSMUSG00000022206	Npr3	GO:0120163	negative regulation of cold-induced thermogenesis	negative_regulation_of_cold-induced_thermogenesis
ENSMUSG00000019846	Lama4	GO:0120163	negative regulation of cold-induced thermogenesis	negative_regulation_of_cold-induced_thermogenesis
ENSMUSG00000024526	Cidea	GO:0120163	negative regulation of cold-induced thermogenesis	negative_regulation_of_cold-induced_thermogenesis
ENSMUSG00000020889	Nr1d1	GO:0120163	negative regulation of cold-induced thermogenesis	negative_regulation_of_cold-induced_thermogenesis
ENSMUSG00000042745	Id1	GO:0120163	negative regulation of cold-induced thermogenesis	negative_regulation_of_cold-induced_thermogenesis
ENSMUSG00000032633	Flcn	GO:0120163	negative regulation of cold-induced thermogenesis	negative_regulation_of_cold-induced_thermogenesis
ENSMUSG00000025408	Ddit3	GO:0120163	negative regulation of cold-induced thermogenesis	negative_regulation_of_cold-induced_thermogenesis
ENSMUSG00000074794	Arrdc3	GO:0120163	negative regulation of cold-induced thermogenesis	negative_regulation_of_cold-induced_thermogenesis
ENSMUSG00000039005	Tlr4	GO:0120163	negative regulation of cold-induced thermogenesis	negative_regulation_of_cold-induced_thermogenesis
ENSMUSG00000060601	Nr1h2	GO:0120163	negative regulation of cold-induced thermogenesis	negative_regulation_of_cold-induced_thermogenesis
ENSMUSG00000022894	Adamts5	GO:0120163	negative regulation of cold-induced thermogenesis	negative_regulation_of_cold-induced_thermogenesis
ENSMUSG00000045333	Zfp423	GO:0120163	negative regulation of cold-induced thermogenesis	negative_regulation_of_cold-induced_thermogenesis
ENSMUSG00000030411	Nova2	GO:0120163	negative regulation of cold-induced thermogenesis	negative_regulation_of_cold-induced_thermogenesis
ENSMUSG00000032594	Ip6k1	GO:0120163	negative regulation of cold-induced thermogenesis	negative_regulation_of_cold-induced_thermogenesis
ENSMUSG00000022105	Rb1	GO:0120163	negative regulation of cold-induced thermogenesis	negative_regulation_of_cold-induced_thermogenesis
ENSMUSG00000038349	Plcl1	GO:0120163	negative regulation of cold-induced thermogenesis	negative_regulation_of_cold-induced_thermogenesis
ENSMUSG00000021047	Nova1	GO:0120163	negative regulation of cold-induced thermogenesis	negative_regulation_of_cold-induced_thermogenesis
ENSMUSG00000022878	Adipoq	GO:0120163	negative regulation of cold-induced thermogenesis	negative_regulation_of_cold-induced_thermogenesis
ENSMUSG00000053279	Aldh1a1	GO:0120163	negative regulation of cold-induced thermogenesis	negative_regulation_of_cold-induced_thermogenesis
ENSMUSG00000023845	Lnpep	GO:0120163	negative regulation of cold-induced thermogenesis	negative_regulation_of_cold-induced_thermogenesis
ENSMUSG00000042406	Atf4	GO:0120163	negative regulation of cold-induced thermogenesis	negative_regulation_of_cold-induced_thermogenesis
ENSMUSG00000029500	Pgam5	GO:0120163	negative regulation of cold-induced thermogenesis	negative_regulation_of_cold-induced_thermogenesis
ENSMUSG00000002108	Nr1h3	GO:0120163	negative regulation of cold-induced thermogenesis	negative_regulation_of_cold-induced_thermogenesis
ENSMUSG00000032280	Tle3	GO:0120163	negative regulation of cold-induced thermogenesis	negative_regulation_of_cold-induced_thermogenesis
