ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022672	Prkdc	GO:0002638	negative regulation of immunoglobulin production	negative_regulation_of_immunoglobulin_production
ENSMUSG00000031289	Il13ra2	GO:0002638	negative regulation of immunoglobulin production	negative_regulation_of_immunoglobulin_production
ENSMUSG00000024810	Il33	GO:0002638	negative regulation of immunoglobulin production	negative_regulation_of_immunoglobulin_production
ENSMUSG00000030468	Siglecg	GO:0002638	negative regulation of immunoglobulin production	negative_regulation_of_immunoglobulin_production
ENSMUSG00000017195	Zpbp2	GO:0002638	negative regulation of immunoglobulin production	negative_regulation_of_immunoglobulin_production
ENSMUSG00000062593	Gm49339	GO:0002638	negative regulation of immunoglobulin production	negative_regulation_of_immunoglobulin_production
ENSMUSG00000112148	Lilrb4a	GO:0002638	negative regulation of immunoglobulin production	negative_regulation_of_immunoglobulin_production
ENSMUSG00000023010	Tmbim6	GO:0002638	negative regulation of immunoglobulin production	negative_regulation_of_immunoglobulin_production
ENSMUSG00000000903	Vpreb3	GO:0002638	negative regulation of immunoglobulin production	negative_regulation_of_immunoglobulin_production
ENSMUSG00000030577	Cd22	GO:0002638	negative regulation of immunoglobulin production	negative_regulation_of_immunoglobulin_production
