ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000029687	Ezh2	GO:0045617	negative regulation of keratinocyte differentiation	negative_regulation_of_keratinocyte_differentiation
ENSMUSG00000021469	Msx2	GO:0045617	negative regulation of keratinocyte differentiation	negative_regulation_of_keratinocyte_differentiation
ENSMUSG00000079516	Reg3a	GO:0045617	negative regulation of keratinocyte differentiation	negative_regulation_of_keratinocyte_differentiation
ENSMUSG00000030017	Reg3g	GO:0045617	negative regulation of keratinocyte differentiation	negative_regulation_of_keratinocyte_differentiation
ENSMUSG00000022510	Trp63	GO:0045617	negative regulation of keratinocyte differentiation	negative_regulation_of_keratinocyte_differentiation
ENSMUSG00000039239	Tgfb2	GO:0045617	negative regulation of keratinocyte differentiation	negative_regulation_of_keratinocyte_differentiation
ENSMUSG00000022286	Grhl2	GO:0045617	negative regulation of keratinocyte differentiation	negative_regulation_of_keratinocyte_differentiation
ENSMUSG00000016921	Srsf6	GO:0045617	negative regulation of keratinocyte differentiation	negative_regulation_of_keratinocyte_differentiation
ENSMUSG00000038236	Hoxa7	GO:0045617	negative regulation of keratinocyte differentiation	negative_regulation_of_keratinocyte_differentiation
ENSMUSG00000037279	Ovol2	GO:0045617	negative regulation of keratinocyte differentiation	negative_regulation_of_keratinocyte_differentiation
