ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000020593	Lpin1	GO:0031642	negative regulation of myelination	negative_regulation_of_myelination
ENSMUSG00000055170	Ifng	GO:0031642	negative regulation of myelination	negative_regulation_of_myelination
ENSMUSG00000038417	Fig4	GO:0031642	negative regulation of myelination	negative_regulation_of_myelination
ENSMUSG00000030560	Ctsc	GO:0031642	negative regulation of myelination	negative_regulation_of_myelination
ENSMUSG00000031918	Mtmr2	GO:0031642	negative regulation of myelination	negative_regulation_of_myelination
ENSMUSG00000023915	Tnfrsf21	GO:0031642	negative regulation of myelination	negative_regulation_of_myelination
ENSMUSG00000053062	Jam2	GO:0031642	negative regulation of myelination	negative_regulation_of_myelination
ENSMUSG00000013663	Pten	GO:0031642	negative regulation of myelination	negative_regulation_of_myelination
ENSMUSG00000035413	Tmem98	GO:0031642	negative regulation of myelination	negative_regulation_of_myelination
ENSMUSG00000024401	Tnf	GO:0031642	negative regulation of myelination	negative_regulation_of_myelination
