ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000039217	Il18	GO:0045662	negative regulation of myoblast differentiation	negative_regulation_of_myoblast_differentiation
ENSMUSG00000006050	Sra1	GO:0045662	negative regulation of myoblast differentiation	negative_regulation_of_myoblast_differentiation
ENSMUSG00000002603	Tgfb1	GO:0045662	negative regulation of myoblast differentiation	negative_regulation_of_myoblast_differentiation
ENSMUSG00000076431	Sox4	GO:0045662	negative regulation of myoblast differentiation	negative_regulation_of_myoblast_differentiation
ENSMUSG00000036109	Mbnl3	GO:0045662	negative regulation of myoblast differentiation	negative_regulation_of_myoblast_differentiation
ENSMUSG00000025408	Ddit3	GO:0045662	negative regulation of myoblast differentiation	negative_regulation_of_myoblast_differentiation
ENSMUSG00000026100	Mstn	GO:0045662	negative regulation of myoblast differentiation	negative_regulation_of_myoblast_differentiation
ENSMUSG00000025172	Ankrd2	GO:0045662	negative regulation of myoblast differentiation	negative_regulation_of_myoblast_differentiation
ENSMUSG00000036169	Sostdc1	GO:0045662	negative regulation of myoblast differentiation	negative_regulation_of_myoblast_differentiation
ENSMUSG00000014773	Dll1	GO:0045662	negative regulation of myoblast differentiation	negative_regulation_of_myoblast_differentiation
ENSMUSG00000079092	Prl2c2	GO:0045662	negative regulation of myoblast differentiation	negative_regulation_of_myoblast_differentiation
ENSMUSG00000021508	Cxcl14	GO:0045662	negative regulation of myoblast differentiation	negative_regulation_of_myoblast_differentiation
ENSMUSG00000002250	Ppard	GO:0045662	negative regulation of myoblast differentiation	negative_regulation_of_myoblast_differentiation
ENSMUSG00000007872	Id3	GO:0045662	negative regulation of myoblast differentiation	negative_regulation_of_myoblast_differentiation
ENSMUSG00000040759	Cmtm5	GO:0045662	negative regulation of myoblast differentiation	negative_regulation_of_myoblast_differentiation
ENSMUSG00000079588	Tmem182	GO:0045662	negative regulation of myoblast differentiation	negative_regulation_of_myoblast_differentiation
ENSMUSG00000021835	Bmp4	GO:0045662	negative regulation of myoblast differentiation	negative_regulation_of_myoblast_differentiation
ENSMUSG00000024401	Tnf	GO:0045662	negative regulation of myoblast differentiation	negative_regulation_of_myoblast_differentiation
ENSMUSG00000034855	Cxcl10	GO:0045662	negative regulation of myoblast differentiation	negative_regulation_of_myoblast_differentiation
ENSMUSG00000004939	Nmrk2	GO:0045662	negative regulation of myoblast differentiation	negative_regulation_of_myoblast_differentiation
ENSMUSG00000030470	Csrp3	GO:0045662	negative regulation of myoblast differentiation	negative_regulation_of_myoblast_differentiation
ENSMUSG00000024176	Sox8	GO:0045662	negative regulation of myoblast differentiation	negative_regulation_of_myoblast_differentiation
ENSMUSG00000018604	Tbx3	GO:0045662	negative regulation of myoblast differentiation	negative_regulation_of_myoblast_differentiation
ENSMUSG00000000567	Sox9	GO:0045662	negative regulation of myoblast differentiation	negative_regulation_of_myoblast_differentiation
ENSMUSG00000030117	Gdf3	GO:0045662	negative regulation of myoblast differentiation	negative_regulation_of_myoblast_differentiation
ENSMUSG00000019122	Ccl9	GO:0045662	negative regulation of myoblast differentiation	negative_regulation_of_myoblast_differentiation
ENSMUSG00000026923	Notch1	GO:0045662	negative regulation of myoblast differentiation	negative_regulation_of_myoblast_differentiation
ENSMUSG00000070705	Eid2b	GO:0045662	negative regulation of myoblast differentiation	negative_regulation_of_myoblast_differentiation
