ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022812	Gsk3b	GO:0051001	negative regulation of nitric-oxide synthase activity	negative_regulation_of_nitric-oxide_synthase_activity
ENSMUSG00000031266	Gla	GO:0051001	negative regulation of nitric-oxide synthase activity	negative_regulation_of_nitric-oxide_synthase_activity
ENSMUSG00000007655	Cav1	GO:0051001	negative regulation of nitric-oxide synthase activity	negative_regulation_of_nitric-oxide_synthase_activity
ENSMUSG00000021125	Arg2	GO:0051001	negative regulation of nitric-oxide synthase activity	negative_regulation_of_nitric-oxide_synthase_activity
ENSMUSG00000062585	Cnr2	GO:0051001	negative regulation of nitric-oxide synthase activity	negative_regulation_of_nitric-oxide_synthase_activity
ENSMUSG00000062694	Cav3	GO:0051001	negative regulation of nitric-oxide synthase activity	negative_regulation_of_nitric-oxide_synthase_activity
ENSMUSG00000044288	Cnr1	GO:0051001	negative regulation of nitric-oxide synthase activity	negative_regulation_of_nitric-oxide_synthase_activity
ENSMUSG00000026463	Atp2b4	GO:0051001	negative regulation of nitric-oxide synthase activity	negative_regulation_of_nitric-oxide_synthase_activity
ENSMUSG00000003421	Nosip	GO:0051001	negative regulation of nitric-oxide synthase activity	negative_regulation_of_nitric-oxide_synthase_activity
ENSMUSG00000026814	Eng	GO:0051001	negative regulation of nitric-oxide synthase activity	negative_regulation_of_nitric-oxide_synthase_activity
