ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022114	Spry2	GO:0010801	negative regulation of peptidyl-threonine phosphorylation	negative_regulation_of_peptidyl-threonine_phosphorylation
ENSMUSG00000006127	Inpp5k	GO:0010801	negative regulation of peptidyl-threonine phosphorylation	negative_regulation_of_peptidyl-threonine_phosphorylation
ENSMUSG00000045983	Eif4g1	GO:0010801	negative regulation of peptidyl-threonine phosphorylation	negative_regulation_of_peptidyl-threonine_phosphorylation
ENSMUSG00000022099	Dmtn	GO:0010801	negative regulation of peptidyl-threonine phosphorylation	negative_regulation_of_peptidyl-threonine_phosphorylation
ENSMUSG00000004815	Dgkq	GO:0010801	negative regulation of peptidyl-threonine phosphorylation	negative_regulation_of_peptidyl-threonine_phosphorylation
ENSMUSG00000025880	Smad7	GO:0010801	negative regulation of peptidyl-threonine phosphorylation	negative_regulation_of_peptidyl-threonine_phosphorylation
ENSMUSG00000034160	Ogt	GO:0010801	negative regulation of peptidyl-threonine phosphorylation	negative_regulation_of_peptidyl-threonine_phosphorylation
ENSMUSG00000024858	Grk2	GO:0010801	negative regulation of peptidyl-threonine phosphorylation	negative_regulation_of_peptidyl-threonine_phosphorylation
ENSMUSG00000039438	Ttc36	GO:0010801	negative regulation of peptidyl-threonine phosphorylation	negative_regulation_of_peptidyl-threonine_phosphorylation
ENSMUSG00000025812	Pard3	GO:0010801	negative regulation of peptidyl-threonine phosphorylation	negative_regulation_of_peptidyl-threonine_phosphorylation
ENSMUSG00000059409	Ppp2r5d	GO:0010801	negative regulation of peptidyl-threonine phosphorylation	negative_regulation_of_peptidyl-threonine_phosphorylation
ENSMUSG00000054793	Cadm4	GO:0010801	negative regulation of peptidyl-threonine phosphorylation	negative_regulation_of_peptidyl-threonine_phosphorylation
ENSMUSG00000029410	Ppef2	GO:0010801	negative regulation of peptidyl-threonine phosphorylation	negative_regulation_of_peptidyl-threonine_phosphorylation
ENSMUSG00000020108	Ddit4	GO:0010801	negative regulation of peptidyl-threonine phosphorylation	negative_regulation_of_peptidyl-threonine_phosphorylation
ENSMUSG00000045671	Spred2	GO:0010801	negative regulation of peptidyl-threonine phosphorylation	negative_regulation_of_peptidyl-threonine_phosphorylation
ENSMUSG00000015149	Sirt2	GO:0010801	negative regulation of peptidyl-threonine phosphorylation	negative_regulation_of_peptidyl-threonine_phosphorylation
ENSMUSG00000040435	Ppp1r15a	GO:0010801	negative regulation of peptidyl-threonine phosphorylation	negative_regulation_of_peptidyl-threonine_phosphorylation
ENSMUSG00000029556	Hnf1a	GO:0010801	negative regulation of peptidyl-threonine phosphorylation	negative_regulation_of_peptidyl-threonine_phosphorylation
ENSMUSG00000027351	Spred1	GO:0010801	negative regulation of peptidyl-threonine phosphorylation	negative_regulation_of_peptidyl-threonine_phosphorylation
