ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000033149	Phldb2	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000041417	Pik3r1	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000037519	Ppfia1	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000006127	Inpp5k	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000026109	Tmeff2	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000030516	Tjp1	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000036131	Frmd7	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000022580	Rhpn1	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000024043	Arhgap28	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000009376	Met	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000031165	Was	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000028868	Wasf2	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000004568	Arhgef18	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000031355	Arhgap6	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000022781	Pak2	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000028832	Stmn1	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000026697	Myoc	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000072955	Tmsb15l	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000031523	Dlc1	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000041729	Coro2b	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000035407	Kank4	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000089996	Tmsb15b2	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000045092	S1pr1	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000032232	Cgnl1	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000038235	F11r	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000032812	Arap1	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000032827	Ppp1r9a	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000042099	Kank3	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000051397	Tacstd2	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000018293	Pfn1	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000032194	Kank2	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
ENSMUSG00000030494	Rhpn2	GO:0051497	negative regulation of stress fiber assembly	negative_regulation_of_stress_fiber_assembly
