ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000032702	Kank1	GO:1900025	negative regulation of substrate adhesion-dependent cell spreading	negative_regulation_of_substrate_adhesion-dependent_cell_spreading
ENSMUSG00000062352	Itgb1bp1	GO:1900025	negative regulation of substrate adhesion-dependent cell spreading	negative_regulation_of_substrate_adhesion-dependent_cell_spreading
ENSMUSG00000006369	Fbln1	GO:1900025	negative regulation of substrate adhesion-dependent cell spreading	negative_regulation_of_substrate_adhesion-dependent_cell_spreading
ENSMUSG00000031955	Bcar1	GO:1900025	negative regulation of substrate adhesion-dependent cell spreading	negative_regulation_of_substrate_adhesion-dependent_cell_spreading
ENSMUSG00000048915	Efna5	GO:1900025	negative regulation of substrate adhesion-dependent cell spreading	negative_regulation_of_substrate_adhesion-dependent_cell_spreading
ENSMUSG00000074238	Ap1ar	GO:1900025	negative regulation of substrate adhesion-dependent cell spreading	negative_regulation_of_substrate_adhesion-dependent_cell_spreading
ENSMUSG00000022099	Dmtn	GO:1900025	negative regulation of substrate adhesion-dependent cell spreading	negative_regulation_of_substrate_adhesion-dependent_cell_spreading
ENSMUSG00000027750	Postn	GO:1900025	negative regulation of substrate adhesion-dependent cell spreading	negative_regulation_of_substrate_adhesion-dependent_cell_spreading
ENSMUSG00000022780	Meltf	GO:1900025	negative regulation of substrate adhesion-dependent cell spreading	negative_regulation_of_substrate_adhesion-dependent_cell_spreading
ENSMUSG00000054808	Actn4	GO:1900025	negative regulation of substrate adhesion-dependent cell spreading	negative_regulation_of_substrate_adhesion-dependent_cell_spreading
ENSMUSG00000024427	Spry4	GO:1900025	negative regulation of substrate adhesion-dependent cell spreading	negative_regulation_of_substrate_adhesion-dependent_cell_spreading
ENSMUSG00000040945	Rcc2	GO:1900025	negative regulation of substrate adhesion-dependent cell spreading	negative_regulation_of_substrate_adhesion-dependent_cell_spreading
ENSMUSG00000051397	Tacstd2	GO:1900025	negative regulation of substrate adhesion-dependent cell spreading	negative_regulation_of_substrate_adhesion-dependent_cell_spreading
ENSMUSG00000004530	Coro1c	GO:1900025	negative regulation of substrate adhesion-dependent cell spreading	negative_regulation_of_substrate_adhesion-dependent_cell_spreading
