ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000046434	Hnrnpa1	GO:0032211	negative regulation of telomere maintenance via telomerase	negative_regulation_of_telomere_maintenance_via_telomerase
ENSMUSG00000038000	Acd	GO:0032211	negative regulation of telomere maintenance via telomerase	negative_regulation_of_telomere_maintenance_via_telomerase
ENSMUSG00000025266	Gnl3l	GO:0032211	negative regulation of telomere maintenance via telomerase	negative_regulation_of_telomere_maintenance_via_telomerase
ENSMUSG00000031921	Terf2	GO:0032211	negative regulation of telomere maintenance via telomerase	negative_regulation_of_telomere_maintenance_via_telomerase
ENSMUSG00000021958	Pinx1	GO:0032211	negative regulation of telomere maintenance via telomerase	negative_regulation_of_telomere_maintenance_via_telomerase
ENSMUSG00000039630	Hnrnpu	GO:0032211	negative regulation of telomere maintenance via telomerase	negative_regulation_of_telomere_maintenance_via_telomerase
ENSMUSG00000024174	Pot1b	GO:0032211	negative regulation of telomere maintenance via telomerase	negative_regulation_of_telomere_maintenance_via_telomerase
ENSMUSG00000017264	Exosc10	GO:0032211	negative regulation of telomere maintenance via telomerase	negative_regulation_of_telomere_maintenance_via_telomerase
ENSMUSG00000024472	Dcp2	GO:0032211	negative regulation of telomere maintenance via telomerase	negative_regulation_of_telomere_maintenance_via_telomerase
ENSMUSG00000036986	Pml	GO:0032211	negative regulation of telomere maintenance via telomerase	negative_regulation_of_telomere_maintenance_via_telomerase
ENSMUSG00000042694	Stn1	GO:0032211	negative regulation of telomere maintenance via telomerase	negative_regulation_of_telomere_maintenance_via_telomerase
ENSMUSG00000060373	Hnrnpc	GO:0032211	negative regulation of telomere maintenance via telomerase	negative_regulation_of_telomere_maintenance_via_telomerase
ENSMUSG00000029676	Pot1a	GO:0032211	negative regulation of telomere maintenance via telomerase	negative_regulation_of_telomere_maintenance_via_telomerase
ENSMUSG00000007589	Tinf2	GO:0032211	negative regulation of telomere maintenance via telomerase	negative_regulation_of_telomere_maintenance_via_telomerase
ENSMUSG00000041064	Pif1	GO:0032211	negative regulation of telomere maintenance via telomerase	negative_regulation_of_telomere_maintenance_via_telomerase
ENSMUSG00000027646	Src	GO:0032211	negative regulation of telomere maintenance via telomerase	negative_regulation_of_telomere_maintenance_via_telomerase
ENSMUSG00000025925	Terf1	GO:0032211	negative regulation of telomere maintenance via telomerase	negative_regulation_of_telomere_maintenance_via_telomerase
ENSMUSG00000020778	Ten1	GO:0032211	negative regulation of telomere maintenance via telomerase	negative_regulation_of_telomere_maintenance_via_telomerase
ENSMUSG00000020898	Ctc1	GO:0032211	negative regulation of telomere maintenance via telomerase	negative_regulation_of_telomere_maintenance_via_telomerase
ENSMUSG00000027185	Nat10	GO:0032211	negative regulation of telomere maintenance via telomerase	negative_regulation_of_telomere_maintenance_via_telomerase
