ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022982	Sod1	GO:0060052	neurofilament cytoskeleton organization	neurofilament_cytoskeleton_organization
ENSMUSG00000021662	Arhgef28	GO:0060052	neurofilament cytoskeleton organization	neurofilament_cytoskeleton_organization
ENSMUSG00000021983	Atp8a2	GO:0060052	neurofilament cytoskeleton organization	neurofilament_cytoskeleton_organization
ENSMUSG00000026317	Cln8	GO:0060052	neurofilament cytoskeleton organization	neurofilament_cytoskeleton_organization
ENSMUSG00000022055	Nefl	GO:0060052	neurofilament cytoskeleton organization	neurofilament_cytoskeleton_organization
ENSMUSG00000034336	Ina	GO:0060052	neurofilament cytoskeleton organization	neurofilament_cytoskeleton_organization
ENSMUSG00000018736	Ndel1	GO:0060052	neurofilament cytoskeleton organization	neurofilament_cytoskeleton_organization
ENSMUSG00000027104	Atf2	GO:0060052	neurofilament cytoskeleton organization	neurofilament_cytoskeleton_organization
ENSMUSG00000020396	Nefh	GO:0060052	neurofilament cytoskeleton organization	neurofilament_cytoskeleton_organization
ENSMUSG00000020128	Vps54	GO:0060052	neurofilament cytoskeleton organization	neurofilament_cytoskeleton_organization
