ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000005705	Agrp	GO:0005184	neuropeptide hormone activity	neuropeptide_hormone_activity
ENSMUSG00000021647	Cartpt	GO:0005184	neuropeptide hormone activity	neuropeptide_hormone_activity
ENSMUSG00000071112	Spx	GO:0005184	neuropeptide hormone activity	neuropeptide_hormone_activity
ENSMUSG00000041616	Nppa	GO:0005184	neuropeptide hormone activity	neuropeptide_hormone_activity
ENSMUSG00000024256	Adcyap1	GO:0005184	neuropeptide hormone activity	neuropeptide_hormone_activity
ENSMUSG00000024517	Grp	GO:0005184	neuropeptide hormone activity	neuropeptide_hormone_activity
ENSMUSG00000028971	Cort	GO:0005184	neuropeptide hormone activity	neuropeptide_hormone_activity
ENSMUSG00000024907	Gal	GO:0005184	neuropeptide hormone activity	neuropeptide_hormone_activity
ENSMUSG00000044988	Ucn3	GO:0005184	neuropeptide hormone activity	neuropeptide_hormone_activity
ENSMUSG00000029819	Npy	GO:0005184	neuropeptide hormone activity	neuropeptide_hormone_activity
ENSMUSG00000026241	Nppc	GO:0005184	neuropeptide hormone activity	neuropeptide_hormone_activity
ENSMUSG00000045471	Hcrt	GO:0005184	neuropeptide hormone activity	neuropeptide_hormone_activity
ENSMUSG00000019890	Nts	GO:0005184	neuropeptide hormone activity	neuropeptide_hormone_activity
ENSMUSG00000019772	Vip	GO:0005184	neuropeptide hormone activity	neuropeptide_hormone_activity
ENSMUSG00000017316	Ppy	GO:0005184	neuropeptide hormone activity	neuropeptide_hormone_activity
ENSMUSG00000017311	Pyy	GO:0005184	neuropeptide hormone activity	neuropeptide_hormone_activity
ENSMUSG00000025723	Nmb	GO:0005184	neuropeptide hormone activity	neuropeptide_hormone_activity
ENSMUSG00000023052	Npff	GO:0005184	neuropeptide hormone activity	neuropeptide_hormone_activity
ENSMUSG00000027643	Ghrh	GO:0005184	neuropeptide hormone activity	neuropeptide_hormone_activity
ENSMUSG00000026051	Ecrg4	GO:0005184	neuropeptide hormone activity	neuropeptide_hormone_activity
ENSMUSG00000043102	Qrfp	GO:0005184	neuropeptide hormone activity	neuropeptide_hormone_activity
ENSMUSG00000032532	Cck	GO:0005184	neuropeptide hormone activity	neuropeptide_hormone_activity
ENSMUSG00000090550	Prlh	GO:0005184	neuropeptide hormone activity	neuropeptide_hormone_activity
ENSMUSG00000037428	Vgf	GO:0005184	neuropeptide hormone activity	neuropeptide_hormone_activity
ENSMUSG00000027301	Oxt	GO:0005184	neuropeptide hormone activity	neuropeptide_hormone_activity
ENSMUSG00000037727	Avp	GO:0005184	neuropeptide hormone activity	neuropeptide_hormone_activity
ENSMUSG00000027596	a	GO:0005184	neuropeptide hormone activity	neuropeptide_hormone_activity
