ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000024621	Csf1r	GO:0001780	neutrophil homeostasis	neutrophil_homeostasis
ENSMUSG00000031990	Jam3	GO:0001780	neutrophil homeostasis	neutrophil_homeostasis
ENSMUSG00000031264	Btk	GO:0001780	neutrophil homeostasis	neutrophil_homeostasis
ENSMUSG00000062593	Gm49339	GO:0001780	neutrophil homeostasis	neutrophil_homeostasis
ENSMUSG00000112148	Lilrb4a	GO:0001780	neutrophil homeostasis	neutrophil_homeostasis
ENSMUSG00000030352	Tspan9	GO:0001780	neutrophil homeostasis	neutrophil_homeostasis
ENSMUSG00000021048	Mthfd1	GO:0001780	neutrophil homeostasis	neutrophil_homeostasis
ENSMUSG00000024659	Anxa1	GO:0001780	neutrophil homeostasis	neutrophil_homeostasis
ENSMUSG00000032114	Slc37a4	GO:0001780	neutrophil homeostasis	neutrophil_homeostasis
ENSMUSG00000091387	Gcnt4	GO:0001780	neutrophil homeostasis	neutrophil_homeostasis
ENSMUSG00000006389	Mpl	GO:0001780	neutrophil homeostasis	neutrophil_homeostasis
ENSMUSG00000027684	Mecom	GO:0001780	neutrophil homeostasis	neutrophil_homeostasis
ENSMUSG00000028525	Pde4b	GO:0001780	neutrophil homeostasis	neutrophil_homeostasis
ENSMUSG00000014599	Csf1	GO:0001780	neutrophil homeostasis	neutrophil_homeostasis
ENSMUSG00000042594	Sh2b3	GO:0001780	neutrophil homeostasis	neutrophil_homeostasis
