ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000031591	Asah1	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000020038	Cry1	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000039697	Ncoa7	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000020063	Sirt1	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000075000	Nrbf2	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000018160	Med1	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000005886	Ncoa2	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000038722	Bud31	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000026104	Stat1	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000028910	Mecr	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000048490	Nrip1	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000037935	Smarce1	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000030061	Uba3	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000027070	Lrp2	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000025056	Nr0b1	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000042258	Isl1	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000065954	Tacc1	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000007880	Arid1a	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000054808	Actn4	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000010175	Prox1	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000055024	Ep300	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000024985	Tcf7l2	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000020647	Ncoa1	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000031314	Taf1	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000018501	Ncor1	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000022809	Nr1i2	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000029478	Ncor2	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000021039	Snw1	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000032402	Smad3	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000021109	Hif1a	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000071076	Jund	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000032386	Trip4	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000029833	Trim24	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000030852	Tacc2	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000028949	Smarcd3	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000009471	Myod1	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000059439	Bcas3	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000068742	Cry2	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000029167	Ppargc1a	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000006932	Ctnnb1	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000029221	Slc30a9	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000048930	Tada3	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000027678	Ncoa3	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000000581	C1d	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000041578	Crx	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
ENSMUSG00000015846	Rxra	GO:0016922	nuclear receptor binding	nuclear_receptor_binding
