ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000069306	H4c17	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000069305	H4c18	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000031229	Atrx	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000060639	H4c9	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000036181	H1f2	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000069310	H3c3	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000069267	H3c2	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000069266	H4c2	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000060093	H4c1	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000049539	H1f1	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000031715	Smarca5	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000050799	H2bc1	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000022945	Chaf1b	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000055733	Nap1l3	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000055067	Smyd3	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000047514	Tspyl1	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000002835	Chaf1a	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000039485	Tspyl4	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000002870	Mcm2	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000022702	Hira	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000038984	Tspyl5	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000060743	H3f3a	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000081058	H3c15	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000063954	H2ac19	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000064220	H2ac18	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000093769	H3c14	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000031540	Kat6a	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000091405	H4c14	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000074403	H3c13	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000005982	Naa60	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000019857	Asf1a	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000039473	Ubn1	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000021811	Dnajc9	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000015937	Macroh2a1	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000058799	Nap1l1	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000096210	H1f0	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000090112	Shprh	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000027018	Hat1	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000021767	Kat6b	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000020086	Macroh2a2	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000082229	Nap1l2	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000067455	H4c11	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000064288	H4c12	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000058773	H1f5	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000060981	H4c8	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000100210	H3c7	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000069274	H4c6	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000052565	H1f3	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000069273	H3c6	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000099583	H3c4	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000061482	H4c4	GO:0006334	nucleosome assembly	nucleosome_assembly
ENSMUSG00000051627	H1f4	GO:0006334	nucleosome assembly	nucleosome_assembly
