ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022705	Drd3	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000052229	Gpr17	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000001496	Nkx2-1	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000021379	Id4	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000028800	Hdac1	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000020052	Ascl1	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000035187	Nkx6-1	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000028991	Mtor	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000021573	Tppp	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000020644	Id2	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000062312	Erbb2	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000041540	Sox5	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000031393	Mecp2	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000049556	Lingo1	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000030619	Eed	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000027748	Trpc4	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000036098	Myrf	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000006782	Cnp	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000028551	Cdkn2c	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000032312	Csk	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000039384	Dusp10	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000027858	Tspan2	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000079055	Slc8a3	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000033006	Sox10	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000068748	Ptprz1	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000048015	Neurod4	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000055254	Ntrk2	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000021318	Gli3	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000041911	Dlx1	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000023391	Dlx2	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000048001	Hes5	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000024858	Grk2	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000062991	Nrg1	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000039830	Olig2	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000017344	Vtn	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000017548	Suz12	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000031302	Nlgn3	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000051910	Sox6	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000026278	Bok	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000029763	Exoc4	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000028969	Cdk5	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000028945	Rheb	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000001911	Nfix	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000002633	Shh	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000006932	Ctnnb1	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000024176	Sox8	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000018379	Srsf1	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000041309	Nkx6-2	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000000567	Sox9	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000078566	Bnip3	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000026923	Notch1	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000020716	Nf1	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000027434	Nkx2-2	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000086509	Nkx2-2os	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00002075208	Gm56468	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
ENSMUSG00000025314	Ptprj	GO:0048709	oligodendrocyte differentiation	oligodendrocyte_differentiation
