ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000048087	Ahcyl	GO:0006730	one-carbon metabolic process	one-carbon_metabolic_process
ENSMUSG00000021474	Sfxn1	GO:0006730	one-carbon metabolic process	one-carbon_metabolic_process
ENSMUSG00000030088	Aldh1l1	GO:0006730	one-carbon metabolic process	one-carbon_metabolic_process
ENSMUSG00000025403	Shmt2	GO:0006730	one-carbon metabolic process	one-carbon_metabolic_process
ENSMUSG00000042032	Mat2b	GO:0006730	one-carbon metabolic process	one-carbon_metabolic_process
ENSMUSG00000020534	Shmt1	GO:0006730	one-carbon metabolic process	one-carbon_metabolic_process
ENSMUSG00000021048	Mthfd1	GO:0006730	one-carbon metabolic process	one-carbon_metabolic_process
ENSMUSG00000040675	Mthfd1l	GO:0006730	one-carbon metabolic process	one-carbon_metabolic_process
ENSMUSG00000021707	Dhfr	GO:0006730	one-carbon metabolic process	one-carbon_metabolic_process
ENSMUSG00000037798	Mat1a	GO:0006730	one-carbon metabolic process	one-carbon_metabolic_process
ENSMUSG00000025212	Sfxn3	GO:0006730	one-carbon metabolic process	one-carbon_metabolic_process
ENSMUSG00000002769	Gnmt	GO:0006730	one-carbon metabolic process	one-carbon_metabolic_process
ENSMUSG00000029772	Ahcyl2	GO:0006730	one-carbon metabolic process	one-carbon_metabolic_process
ENSMUSG00000020256	Aldh1l2	GO:0006730	one-carbon metabolic process	one-carbon_metabolic_process
ENSMUSG00000027893	Ahcyl1	GO:0006730	one-carbon metabolic process	one-carbon_metabolic_process
ENSMUSG00000029376	Mthfd2l	GO:0006730	one-carbon metabolic process	one-carbon_metabolic_process
ENSMUSG00000005667	Mthfd2	GO:0006730	one-carbon metabolic process	one-carbon_metabolic_process
ENSMUSG00000053907	Mat2a	GO:0006730	one-carbon metabolic process	one-carbon_metabolic_process
ENSMUSG00000009566	Fpgs	GO:0006730	one-carbon metabolic process	one-carbon_metabolic_process
ENSMUSG00000027597	Ahcy	GO:0006730	one-carbon metabolic process	one-carbon_metabolic_process
