ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022141	Nipbl	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000021944	Gata4	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000019789	Hey2	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000028004	Npy2r	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000044674	Fzd1	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000063632	Sox11	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000021469	Msx2	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000030890	Ilk	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000025932	Eya1	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000036158	Prickle1	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000057123	Gja5	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000044014	Npy5r	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000036437	Npy1r	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000022306	Zfpm2	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000005583	Mef2c	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000051367	Six1	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000025219	Fgf8	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000042258	Isl1	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000015579	Nkx2-5	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000039239	Tgfb2	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000022528	Hes1	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000067336	Bmpr2	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000039910	Cited2	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000021796	Bmpr1a	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000023951	Vegfa	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000028780	Sema3c	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000006134	Crkl	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000021109	Hif1a	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000033837	Foxh1	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000015957	Wnt11	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000030123	Plxnd1	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000049577	Zfpm1	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000027104	Atf2	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000031965	Tbx20	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000027996	Sfrp2	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000025902	Sox17	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000001052	Sec24b	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000032744	Heyl	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000021835	Bmp4	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000066026	Dhrs3	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000020888	Dvl2	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000032216	Nedd4	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000039191	Rbpj	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000018604	Tbx3	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000032440	Tgfbr2	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000048616	Nog	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000032187	Smarca4	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000029675	Eln	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000029071	Dvl1	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000052684	Jun	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000026923	Notch1	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000050288	Fzd2	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000000093	Tbx2	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
ENSMUSG00000030592	Ryr1	GO:0003151	outflow tract morphogenesis	outflow_tract_morphogenesis
