ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000024927	Rela	GO:0042277	peptide binding	peptide_binding
ENSMUSG00000032360	Hcrtr2	GO:0042277	peptide binding	peptide_binding
ENSMUSG00000041763	Tpp2	GO:0042277	peptide binding	peptide_binding
ENSMUSG00000021939	Ctsb	GO:0042277	peptide binding	peptide_binding
ENSMUSG00000019055	Plod1	GO:0042277	peptide binding	peptide_binding
ENSMUSG00000058400	Qrfpr	GO:0042277	peptide binding	peptide_binding
ENSMUSG00000041248	Kcnj1	GO:0042277	peptide binding	peptide_binding
ENSMUSG00000022206	Npr3	GO:0042277	peptide binding	peptide_binding
ENSMUSG00000031390	Avpr2	GO:0042277	peptide binding	peptide_binding
ENSMUSG00000047638	Nr1h4	GO:0042277	peptide binding	peptide_binding
ENSMUSG00000021583	Erap1	GO:0042277	peptide binding	peptide_binding
ENSMUSG00000020123	Avpr1a	GO:0042277	peptide binding	peptide_binding
ENSMUSG00000021710	Nln	GO:0042277	peptide binding	peptide_binding
ENSMUSG00000028778	Hcrtr1	GO:0042277	peptide binding	peptide_binding
ENSMUSG00000045509	Gpr150	GO:0042277	peptide binding	peptide_binding
ENSMUSG00000054200	Ffar4	GO:0042277	peptide binding	peptide_binding
ENSMUSG00000047547	Cltb	GO:0042277	peptide binding	peptide_binding
ENSMUSG00000044067	Gpr22	GO:0042277	peptide binding	peptide_binding
ENSMUSG00000024477	Pggt1b	GO:0042277	peptide binding	peptide_binding
ENSMUSG00000019849	Prep	GO:0042277	peptide binding	peptide_binding
ENSMUSG00000030894	Tpp1	GO:0042277	peptide binding	peptide_binding
ENSMUSG00000028024	Enpep	GO:0042277	peptide binding	peptide_binding
ENSMUSG00000026387	Sctr	GO:0042277	peptide binding	peptide_binding
ENSMUSG00000060615	Ang4	GO:0042277	peptide binding	peptide_binding
ENSMUSG00000058704	Memo1	GO:0042277	peptide binding	peptide_binding
ENSMUSG00000068037	Mas1	GO:0042277	peptide binding	peptide_binding
ENSMUSG00000041347	Bdkrb1	GO:0042277	peptide binding	peptide_binding
ENSMUSG00000024713	Pcsk5	GO:0042277	peptide binding	peptide_binding
