ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000035105	Egln3	GO:0018401	peptidyl-proline hydroxylation to 4-hydroxy-L-proline	peptidyl-proline_hydroxylation_to_4-hydroxy-L-proline
ENSMUSG00000025289	Prdx4	GO:0018401	peptidyl-proline hydroxylation to 4-hydroxy-L-proline	peptidyl-proline_hydroxylation_to_4-hydroxy-L-proline
ENSMUSG00000019916	P4ha1	GO:0018401	peptidyl-proline hydroxylation to 4-hydroxy-L-proline	peptidyl-proline_hydroxylation_to_4-hydroxy-L-proline
ENSMUSG00000057069	Ero1b	GO:0018401	peptidyl-proline hydroxylation to 4-hydroxy-L-proline	peptidyl-proline_hydroxylation_to_4-hydroxy-L-proline
ENSMUSG00000031987	Egln1	GO:0018401	peptidyl-proline hydroxylation to 4-hydroxy-L-proline	peptidyl-proline_hydroxylation_to_4-hydroxy-L-proline
ENSMUSG00000021831	Ero1a	GO:0018401	peptidyl-proline hydroxylation to 4-hydroxy-L-proline	peptidyl-proline_hydroxylation_to_4-hydroxy-L-proline
ENSMUSG00000025130	P4hb	GO:0018401	peptidyl-proline hydroxylation to 4-hydroxy-L-proline	peptidyl-proline_hydroxylation_to_4-hydroxy-L-proline
ENSMUSG00000018906	P4ha2	GO:0018401	peptidyl-proline hydroxylation to 4-hydroxy-L-proline	peptidyl-proline_hydroxylation_to_4-hydroxy-L-proline
ENSMUSG00000006675	P4htm	GO:0018401	peptidyl-proline hydroxylation to 4-hydroxy-L-proline	peptidyl-proline_hydroxylation_to_4-hydroxy-L-proline
ENSMUSG00000058709	Egln2	GO:0018401	peptidyl-proline hydroxylation to 4-hydroxy-L-proline	peptidyl-proline_hydroxylation_to_4-hydroxy-L-proline
