ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000073563	Csnk1g3	GO:0018105	peptidyl-serine phosphorylation	peptidyl-serine_phosphorylation
ENSMUSG00000022812	Gsk3b	GO:0018105	peptidyl-serine phosphorylation	peptidyl-serine_phosphorylation
ENSMUSG00000022672	Prkdc	GO:0018105	peptidyl-serine phosphorylation	peptidyl-serine_phosphorylation
ENSMUSG00000021959	Lats2	GO:0018105	peptidyl-serine phosphorylation	peptidyl-serine_phosphorylation
ENSMUSG00000024617	Camk2a	GO:0018105	peptidyl-serine phosphorylation	peptidyl-serine_phosphorylation
ENSMUSG00000020580	Rock2	GO:0018105	peptidyl-serine phosphorylation	peptidyl-serine_phosphorylation
ENSMUSG00000037012	Hk1	GO:0018105	peptidyl-serine phosphorylation	peptidyl-serine_phosphorylation
ENSMUSG00000050310	Rictor	GO:0018105	peptidyl-serine phosphorylation	peptidyl-serine_phosphorylation
ENSMUSG00000063358	Mapk1	GO:0018105	peptidyl-serine phosphorylation	peptidyl-serine_phosphorylation
ENSMUSG00000002012	Pnck	GO:0018105	peptidyl-serine phosphorylation	peptidyl-serine_phosphorylation
ENSMUSG00000002007	Srpk3	GO:0018105	peptidyl-serine phosphorylation	peptidyl-serine_phosphorylation
ENSMUSG00000019699	Akt3	GO:0018105	peptidyl-serine phosphorylation	peptidyl-serine_phosphorylation
ENSMUSG00000028630	Dyrk2	GO:0018105	peptidyl-serine phosphorylation	peptidyl-serine_phosphorylation
ENSMUSG00000024935	Slc1a1	GO:0018105	peptidyl-serine phosphorylation	peptidyl-serine_phosphorylation
ENSMUSG00000039456	Morc3	GO:0018105	peptidyl-serine phosphorylation	peptidyl-serine_phosphorylation
ENSMUSG00000024122	Pdpk1	GO:0018105	peptidyl-serine phosphorylation	peptidyl-serine_phosphorylation
ENSMUSG00000025915	Sgk3	GO:0018105	peptidyl-serine phosphorylation	peptidyl-serine_phosphorylation
ENSMUSG00000057672	Pkn1	GO:0018105	peptidyl-serine phosphorylation	peptidyl-serine_phosphorylation
ENSMUSG00000042978	Sbk1	GO:0018105	peptidyl-serine phosphorylation	peptidyl-serine_phosphorylation
ENSMUSG00000022033	Pbk	GO:0018105	peptidyl-serine phosphorylation	peptidyl-serine_phosphorylation
ENSMUSG00000028991	Mtor	GO:0018105	peptidyl-serine phosphorylation	peptidyl-serine_phosphorylation
ENSMUSG00000034751	Mast4	GO:0018105	peptidyl-serine phosphorylation	peptidyl-serine_phosphorylation
ENSMUSG00000041566	Tssk1	GO:0018105	peptidyl-serine phosphorylation	peptidyl-serine_phosphorylation
ENSMUSG00000045521	Tssk2	GO:0018105	peptidyl-serine phosphorylation	peptidyl-serine_phosphorylation
ENSMUSG00000031451	Gas6	GO:0018105	peptidyl-serine phosphorylation	peptidyl-serine_phosphorylation
