ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000023992	Trem2	GO:0006910	phagocytosis, recognition	phagocytosis,_recognition
ENSMUSG00000034730	Adgrb1	GO:0006910	phagocytosis, recognition	phagocytosis,_recognition
ENSMUSG00000031028	Tub	GO:0006910	phagocytosis, recognition	phagocytosis,_recognition
ENSMUSG00000065987	Cd209b	GO:0006910	phagocytosis, recognition	phagocytosis,_recognition
ENSMUSG00000036103	Colec12	GO:0006910	phagocytosis, recognition	phagocytosis,_recognition
ENSMUSG00000037446	Tulp1	GO:0006910	phagocytosis, recognition	phagocytosis,_recognition
ENSMUSG00000002944	Cd36	GO:0006910	phagocytosis, recognition	phagocytosis,_recognition
ENSMUSG00000037936	Scarb1	GO:0006910	phagocytosis, recognition	phagocytosis,_recognition
ENSMUSG00000015947	Fcgr1	GO:0006910	phagocytosis, recognition	phagocytosis,_recognition
ENSMUSG00000037902	Sirpa	GO:0006910	phagocytosis, recognition	phagocytosis,_recognition
ENSMUSG00000071158	Klrh1	GO:0006910	phagocytosis, recognition	phagocytosis,_recognition
