ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000021367	Edn1	GO:0061626	pharyngeal arch artery morphogenesis	pharyngeal_arch_artery_morphogenesis
ENSMUSG00000031616	Ednra	GO:0061626	pharyngeal arch artery morphogenesis	pharyngeal_arch_artery_morphogenesis
ENSMUSG00000039239	Tgfb2	GO:0061626	pharyngeal arch artery morphogenesis	pharyngeal_arch_artery_morphogenesis
ENSMUSG00000022528	Hes1	GO:0061626	pharyngeal arch artery morphogenesis	pharyngeal_arch_artery_morphogenesis
ENSMUSG00000056492	Adgrf5	GO:0061626	pharyngeal arch artery morphogenesis	pharyngeal_arch_artery_morphogenesis
ENSMUSG00000067336	Bmpr2	GO:0061626	pharyngeal arch artery morphogenesis	pharyngeal_arch_artery_morphogenesis
ENSMUSG00000021796	Bmpr1a	GO:0061626	pharyngeal arch artery morphogenesis	pharyngeal_arch_artery_morphogenesis
ENSMUSG00000021835	Bmp4	GO:0061626	pharyngeal arch artery morphogenesis	pharyngeal_arch_artery_morphogenesis
ENSMUSG00000048616	Nog	GO:0061626	pharyngeal arch artery morphogenesis	pharyngeal_arch_artery_morphogenesis
ENSMUSG00000032187	Smarca4	GO:0061626	pharyngeal arch artery morphogenesis	pharyngeal_arch_artery_morphogenesis
ENSMUSG00000001827	Folr1	GO:0061626	pharyngeal arch artery morphogenesis	pharyngeal_arch_artery_morphogenesis
