ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000021335	Slc17a1	GO:0035435	phosphate ion transmembrane transport	phosphate_ion_transmembrane_transport
ENSMUSG00000026469	Xpr1	GO:0035435	phosphate ion transmembrane transport	phosphate_ion_transmembrane_transport
ENSMUSG00000022265	Ank	GO:0035435	phosphate ion transmembrane transport	phosphate_ion_transmembrane_transport
ENSMUSG00000061904	Slc25a3	GO:0035435	phosphate ion transmembrane transport	phosphate_ion_transmembrane_transport
ENSMUSG00000032122	Slc37a2	GO:0035435	phosphate ion transmembrane transport	phosphate_ion_transmembrane_transport
ENSMUSG00000037656	Slc20a2	GO:0035435	phosphate ion transmembrane transport	phosphate_ion_transmembrane_transport
ENSMUSG00000021490	Slc34a1	GO:0035435	phosphate ion transmembrane transport	phosphate_ion_transmembrane_transport
ENSMUSG00000022479	Vdr	GO:0035435	phosphate ion transmembrane transport	phosphate_ion_transmembrane_transport
ENSMUSG00000032114	Slc37a4	GO:0035435	phosphate ion transmembrane transport	phosphate_ion_transmembrane_transport
ENSMUSG00000024036	Slc37a1	GO:0035435	phosphate ion transmembrane transport	phosphate_ion_transmembrane_transport
ENSMUSG00000033685	Ucp2	GO:0035435	phosphate ion transmembrane transport	phosphate_ion_transmembrane_transport
ENSMUSG00000014606	Slc25a11	GO:0035435	phosphate ion transmembrane transport	phosphate_ion_transmembrane_transport
ENSMUSG00000027397	Slc20a1	GO:0035435	phosphate ion transmembrane transport	phosphate_ion_transmembrane_transport
ENSMUSG00000025792	Slc25a10	GO:0035435	phosphate ion transmembrane transport	phosphate_ion_transmembrane_transport
ENSMUSG00000070570	Slc17a7	GO:0035435	phosphate ion transmembrane transport	phosphate_ion_transmembrane_transport
