ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000035237	Lcat	GO:0046470	phosphatidylcholine metabolic process	phosphatidylcholine_metabolic_process
ENSMUSG00000031903	Pla2g15	GO:0046470	phosphatidylcholine metabolic process	phosphatidylcholine_metabolic_process
ENSMUSG00000024130	Abca3	GO:0046470	phosphatidylcholine metabolic process	phosphatidylcholine_metabolic_process
ENSMUSG00000031393	Mecp2	GO:0046470	phosphatidylcholine metabolic process	phosphatidylcholine_metabolic_process
ENSMUSG00000022525	Plaat1	GO:0046470	phosphatidylcholine metabolic process	phosphatidylcholine_metabolic_process
ENSMUSG00000002475	Abhd3	GO:0046470	phosphatidylcholine metabolic process	phosphatidylcholine_metabolic_process
ENSMUSG00000022683	Pla2g10	GO:0046470	phosphatidylcholine metabolic process	phosphatidylcholine_metabolic_process
ENSMUSG00000032083	Apoa1	GO:0046470	phosphatidylcholine metabolic process	phosphatidylcholine_metabolic_process
ENSMUSG00000032080	Apoa4	GO:0046470	phosphatidylcholine metabolic process	phosphatidylcholine_metabolic_process
ENSMUSG00000004565	Pnpla6	GO:0046470	phosphatidylcholine metabolic process	phosphatidylcholine_metabolic_process
ENSMUSG00000034579	Pla2g3	GO:0046470	phosphatidylcholine metabolic process	phosphatidylcholine_metabolic_process
ENSMUSG00000032207	Lipc	GO:0046470	phosphatidylcholine metabolic process	phosphatidylcholine_metabolic_process
ENSMUSG00000002588	Pon1	GO:0046470	phosphatidylcholine metabolic process	phosphatidylcholine_metabolic_process
ENSMUSG00000041202	Pla2g2d	GO:0046470	phosphatidylcholine metabolic process	phosphatidylcholine_metabolic_process
ENSMUSG00000028751	Pla2g2e	GO:0046470	phosphatidylcholine metabolic process	phosphatidylcholine_metabolic_process
ENSMUSG00000029522	Pla2g1b	GO:0046470	phosphatidylcholine metabolic process	phosphatidylcholine_metabolic_process
