ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000028136	Snx27	GO:0032266	phosphatidylinositol-3-phosphate binding	phosphatidylinositol-3-phosphate_binding
ENSMUSG00000061462	Obscn	GO:0032266	phosphatidylinositol-3-phosphate binding	phosphatidylinositol-3-phosphate_binding
ENSMUSG00000024773	Atg2a	GO:0032266	phosphatidylinositol-3-phosphate binding	phosphatidylinositol-3-phosphate_binding
ENSMUSG00000066621	Tecpr1	GO:0032266	phosphatidylinositol-3-phosphate binding	phosphatidylinositol-3-phosphate_binding
ENSMUSG00000019804	Snx3	GO:0032266	phosphatidylinositol-3-phosphate binding	phosphatidylinositol-3-phosphate_binding
ENSMUSG00000031479	Vps36	GO:0032266	phosphatidylinositol-3-phosphate binding	phosphatidylinositol-3-phosphate_binding
ENSMUSG00000024535	Snx24	GO:0032266	phosphatidylinositol-3-phosphate binding	phosphatidylinositol-3-phosphate_binding
ENSMUSG00000037646	Vps13b	GO:0032266	phosphatidylinositol-3-phosphate binding	phosphatidylinositol-3-phosphate_binding
ENSMUSG00000050211	Pla2g4e	GO:0032266	phosphatidylinositol-3-phosphate binding	phosphatidylinositol-3-phosphate_binding
ENSMUSG00000037224	Zfyve28	GO:0032266	phosphatidylinositol-3-phosphate binding	phosphatidylinositol-3-phosphate_binding
ENSMUSG00000040711	Sh3pxd2b	GO:0032266	phosphatidylinositol-3-phosphate binding	phosphatidylinositol-3-phosphate_binding
ENSMUSG00000031293	Rs1	GO:0032266	phosphatidylinositol-3-phosphate binding	phosphatidylinositol-3-phosphate_binding
ENSMUSG00000063145	Bbs5	GO:0032266	phosphatidylinositol-3-phosphate binding	phosphatidylinositol-3-phosphate_binding
ENSMUSG00000034959	Rubcnl	GO:0032266	phosphatidylinositol-3-phosphate binding	phosphatidylinositol-3-phosphate_binding
ENSMUSG00000041341	Atg2b	GO:0032266	phosphatidylinositol-3-phosphate binding	phosphatidylinositol-3-phosphate_binding
ENSMUSG00000021118	Plek2	GO:0032266	phosphatidylinositol-3-phosphate binding	phosphatidylinositol-3-phosphate_binding
ENSMUSG00000066440	Zfyve26	GO:0032266	phosphatidylinositol-3-phosphate binding	phosphatidylinositol-3-phosphate_binding
ENSMUSG00000071715	Ncf4	GO:0032266	phosphatidylinositol-3-phosphate binding	phosphatidylinositol-3-phosphate_binding
ENSMUSG00000053617	Sh3pxd2a	GO:0032266	phosphatidylinositol-3-phosphate binding	phosphatidylinositol-3-phosphate_binding
ENSMUSG00000042628	Zfyve1	GO:0032266	phosphatidylinositol-3-phosphate binding	phosphatidylinositol-3-phosphate_binding
ENSMUSG00000062190	Lancl2	GO:0032266	phosphatidylinositol-3-phosphate binding	phosphatidylinositol-3-phosphate_binding
ENSMUSG00000022808	Snx4	GO:0032266	phosphatidylinositol-3-phosphate binding	phosphatidylinositol-3-phosphate_binding
ENSMUSG00000025812	Pard3	GO:0032266	phosphatidylinositol-3-phosphate binding	phosphatidylinositol-3-phosphate_binding
