ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000025091	Pnliprp2	GO:0009395	phospholipid catabolic process	phospholipid_catabolic_process
ENSMUSG00000033852	Gm28042	GO:0009395	phospholipid catabolic process	phospholipid_catabolic_process
ENSMUSG00000098488	Pla2g4b	GO:0009395	phospholipid catabolic process	phospholipid_catabolic_process
ENSMUSG00000050211	Pla2g4e	GO:0009395	phospholipid catabolic process	phospholipid_catabolic_process
ENSMUSG00000070719	Pla2g4d	GO:0009395	phospholipid catabolic process	phospholipid_catabolic_process
ENSMUSG00000046971	Pla2g4f	GO:0009395	phospholipid catabolic process	phospholipid_catabolic_process
ENSMUSG00000034330	Plcg2	GO:0009395	phospholipid catabolic process	phospholipid_catabolic_process
ENSMUSG00000022425	Enpp2	GO:0009395	phospholipid catabolic process	phospholipid_catabolic_process
ENSMUSG00000023913	Pla2g7	GO:0009395	phospholipid catabolic process	phospholipid_catabolic_process
ENSMUSG00000044968	Napepld	GO:0009395	phospholipid catabolic process	phospholipid_catabolic_process
ENSMUSG00000028553	Angptl3	GO:0009395	phospholipid catabolic process	phospholipid_catabolic_process
ENSMUSG00000025277	Abhd6	GO:0009395	phospholipid catabolic process	phospholipid_catabolic_process
ENSMUSG00000005681	Apoa2	GO:0009395	phospholipid catabolic process	phospholipid_catabolic_process
ENSMUSG00000016933	Plcg1	GO:0009395	phospholipid catabolic process	phospholipid_catabolic_process
ENSMUSG00000056220	Pla2g4a	GO:0009395	phospholipid catabolic process	phospholipid_catabolic_process
ENSMUSG00000029598	Plbd2	GO:0009395	phospholipid catabolic process	phospholipid_catabolic_process
ENSMUSG00000020828	Pld2	GO:0009395	phospholipid catabolic process	phospholipid_catabolic_process
ENSMUSG00000033847	Pla2g4c	GO:0009395	phospholipid catabolic process	phospholipid_catabolic_process
ENSMUSG00000029522	Pla2g1b	GO:0009395	phospholipid catabolic process	phospholipid_catabolic_process
ENSMUSG00000032046	Abhd12	GO:0009395	phospholipid catabolic process	phospholipid_catabolic_process
