ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000024304	Cdh2	GO:0005886	plasma membrane	plasma_membrane
ENSMUSG00000065968	Ifitm7	GO:0005886	plasma membrane	plasma_membrane
ENSMUSG00000073563	Csnk1g3	GO:0005886	plasma membrane	plasma_membrane
ENSMUSG00000059898	Dsc3	GO:0005886	plasma membrane	plasma_membrane
ENSMUSG00000046961	Gpr156	GO:0005886	plasma membrane	plasma_membrane
ENSMUSG00000022812	Gsk3b	GO:0005886	plasma membrane	plasma_membrane
ENSMUSG00000024331	Dsc2	GO:0005886	plasma membrane	plasma_membrane
ENSMUSG00000002489	Tiam1	GO:0005886	plasma membrane	plasma_membrane
ENSMUSG00000044322	Dsc1	GO:0005886	plasma membrane	plasma_membrane
ENSMUSG00000034774	Dsg1c	GO:0005886	plasma membrane	plasma_membrane
ENSMUSG00000069441	Dsg1a	GO:0005886	plasma membrane	plasma_membrane
ENSMUSG00000022982	Sod1	GO:0005886	plasma membrane	plasma_membrane
ENSMUSG00000061928	Dsg1b	GO:0005886	plasma membrane	plasma_membrane
ENSMUSG00000039956	Mrap	GO:0005886	plasma membrane	plasma_membrane
ENSMUSG00000001804	Dsg4	GO:0005886	plasma membrane	plasma_membrane
ENSMUSG00000056632	Dsg3	GO:0005886	plasma membrane	plasma_membrane
ENSMUSG00000044393	Dsg2	GO:0005886	plasma membrane	plasma_membrane
ENSMUSG00000024593	Megf10	GO:0005886	plasma membrane	plasma_membrane
ENSMUSG00000039903	Eva1c	GO:0005886	plasma membrane	plasma_membrane
ENSMUSG00000033863	Klf9	GO:0005886	plasma membrane	plasma_membrane
ENSMUSG00000022790	Igsf11	GO:0005886	plasma membrane	plasma_membrane
ENSMUSG00000024313	Mep1b	GO:0005886	plasma membrane	plasma_membrane
ENSMUSG00000061080	Lsamp	GO:0005886	plasma membrane	plasma_membrane
ENSMUSG00000047261	Gap43	GO:0005886	plasma membrane	plasma_membrane
ENSMUSG00000024600	Slc27a6	GO:0005886	plasma membrane	plasma_membrane
ENSMUSG00000033053	Cfap95	GO:0005886	plasma membrane	plasma_membrane
ENSMUSG00000024897	Apba1	GO:0005886	plasma membrane	plasma_membrane
ENSMUSG00000071604	Entrep1	GO:0005886	plasma membrane	plasma_membrane
ENSMUSG00000024812	Tjp2	GO:0005886	plasma membrane	plasma_membrane
ENSMUSG00000056380	Gpr50	GO:0005886	plasma membrane	plasma_membrane
