ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000024620	Pdgfrb	GO:0048407	platelet-derived growth factor binding	platelet-derived_growth_factor_binding
ENSMUSG00000026043	Col3a1	GO:0048407	platelet-derived growth factor binding	platelet-derived_growth_factor_binding
ENSMUSG00000029661	Col1a2	GO:0048407	platelet-derived growth factor binding	platelet-derived_growth_factor_binding
ENSMUSG00000029623	Pdap1	GO:0048407	platelet-derived growth factor binding	platelet-derived_growth_factor_binding
ENSMUSG00000026837	Col5a1	GO:0048407	platelet-derived growth factor binding	platelet-derived_growth_factor_binding
ENSMUSG00000022483	Col2a1	GO:0048407	platelet-derived growth factor binding	platelet-derived_growth_factor_binding
ENSMUSG00000029231	Pdgfra	GO:0048407	platelet-derived growth factor binding	platelet-derived_growth_factor_binding
ENSMUSG00000031502	Col4a1	GO:0048407	platelet-derived growth factor binding	platelet-derived_growth_factor_binding
ENSMUSG00000000489	Pdgfb	GO:0048407	platelet-derived growth factor binding	platelet-derived_growth_factor_binding
ENSMUSG00000001119	Col6a1	GO:0048407	platelet-derived growth factor binding	platelet-derived_growth_factor_binding
ENSMUSG00000001506	Col1a1	GO:0048407	platelet-derived growth factor binding	platelet-derived_growth_factor_binding
ENSMUSG00000025856	Pdgfa	GO:0048407	platelet-derived growth factor binding	platelet-derived_growth_factor_binding
