ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000021367	Edn1	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000024912	Fosl1	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000033871	Ppargc1b	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000064140	Trim38	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000058099	Nfam1	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000028517	Plpp3	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000035451	Foxa1	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000024789	Jak2	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000033542	Arhgef5	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000025917	Cops5	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000038482	Tfdp1	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000019947	Arid5b	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000044674	Fzd1	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000056758	Hmga2	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000024777	Ppp2r5b	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000038255	Neurod2	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000009900	Wnt3a	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000024913	Lrp5	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000066456	Hmgn3	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000038067	Csf3	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000046873	Mbtps2	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000022061	Nkx3-1	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000021067	Sav1	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000025408	Ddit3	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000116429	Ddit3	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000042750	Bex2	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000050071	Bex1	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000022329	Stk3	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000049791	Fzd4	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000051675	Trim32	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000039005	Tlr4	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000034330	Plcg2	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000041187	Prkd2	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000028899	Taf12	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000001552	Jup	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000000266	Mid2	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000042895	Abra	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000001627	Ifrd1	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000027859	Ngf	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000055491	Pprc1	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000005672	Kit	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000021055	Esr2	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000028161	Ppp3ca	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
ENSMUSG00000010797	Wnt2	GO:0051091	positive regulation of DNA-binding transcription factor activity	positive_regulation_of_DNA-binding_transcription_factor_activity
