ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000031264	Btk	GO:1900227	positive regulation of NLRP3 inflammasome complex assembly	positive_regulation_of_NLRP3_inflammasome_complex_assembly
ENSMUSG00000039005	Tlr4	GO:1900227	positive regulation of NLRP3 inflammasome complex assembly	positive_regulation_of_NLRP3_inflammasome_complex_assembly
ENSMUSG00000034330	Plcg2	GO:1900227	positive regulation of NLRP3 inflammasome complex assembly	positive_regulation_of_NLRP3_inflammasome_complex_assembly
ENSMUSG00000031201	Brcc3	GO:1900227	positive regulation of NLRP3 inflammasome complex assembly	positive_regulation_of_NLRP3_inflammasome_complex_assembly
ENSMUSG00000002688	Prkd1	GO:1900227	positive regulation of NLRP3 inflammasome complex assembly	positive_regulation_of_NLRP3_inflammasome_complex_assembly
ENSMUSG00000112039	Brcc3dc	GO:1900227	positive regulation of NLRP3 inflammasome complex assembly	positive_regulation_of_NLRP3_inflammasome_complex_assembly
ENSMUSG00000030397	Mark4	GO:1900227	positive regulation of NLRP3 inflammasome complex assembly	positive_regulation_of_NLRP3_inflammasome_complex_assembly
ENSMUSG00000027843	Ptpn22	GO:1900227	positive regulation of NLRP3 inflammasome complex assembly	positive_regulation_of_NLRP3_inflammasome_complex_assembly
ENSMUSG00000000787	Ddx3x	GO:1900227	positive regulation of NLRP3 inflammasome complex assembly	positive_regulation_of_NLRP3_inflammasome_complex_assembly
ENSMUSG00000105504	Gbp5	GO:1900227	positive regulation of NLRP3 inflammasome complex assembly	positive_regulation_of_NLRP3_inflammasome_complex_assembly
ENSMUSG00000021936	Mapk8	GO:1900227	positive regulation of NLRP3 inflammasome complex assembly	positive_regulation_of_NLRP3_inflammasome_complex_assembly
ENSMUSG00000002944	Cd36	GO:1900227	positive regulation of NLRP3 inflammasome complex assembly	positive_regulation_of_NLRP3_inflammasome_complex_assembly
ENSMUSG00000020349	Ppp2ca	GO:1900227	positive regulation of NLRP3 inflammasome complex assembly	positive_regulation_of_NLRP3_inflammasome_complex_assembly
ENSMUSG00000026393	Nek7	GO:1900227	positive regulation of NLRP3 inflammasome complex assembly	positive_regulation_of_NLRP3_inflammasome_complex_assembly
ENSMUSG00000073155	Stmp1	GO:1900227	positive regulation of NLRP3 inflammasome complex assembly	positive_regulation_of_NLRP3_inflammasome_complex_assembly
ENSMUSG00000027364	Usp50	GO:1900227	positive regulation of NLRP3 inflammasome complex assembly	positive_regulation_of_NLRP3_inflammasome_complex_assembly
ENSMUSG00000024426	Atat1	GO:1900227	positive regulation of NLRP3 inflammasome complex assembly	positive_regulation_of_NLRP3_inflammasome_complex_assembly
ENSMUSG00000051498	Tlr6	GO:1900227	positive regulation of NLRP3 inflammasome complex assembly	positive_regulation_of_NLRP3_inflammasome_complex_assembly
ENSMUSG00000033538	Casp4	GO:1900227	positive regulation of NLRP3 inflammasome complex assembly	positive_regulation_of_NLRP3_inflammasome_complex_assembly
ENSMUSG00000040620	Dhx33	GO:1900227	positive regulation of NLRP3 inflammasome complex assembly	positive_regulation_of_NLRP3_inflammasome_complex_assembly
ENSMUSG00000032508	Myd88	GO:1900227	positive regulation of NLRP3 inflammasome complex assembly	positive_regulation_of_NLRP3_inflammasome_complex_assembly
ENSMUSG00000037523	Mavs	GO:1900227	positive regulation of NLRP3 inflammasome complex assembly	positive_regulation_of_NLRP3_inflammasome_complex_assembly
