ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000032688	Malt1	GO:0002726	positive regulation of T cell cytokine production	positive_regulation_of_T_cell_cytokine_production
ENSMUSG00000031101	Sash3	GO:0002726	positive regulation of T cell cytokine production	positive_regulation_of_T_cell_cytokine_production
ENSMUSG00000026399	Cd55	GO:0002726	positive regulation of T cell cytokine production	positive_regulation_of_T_cell_cytokine_production
ENSMUSG00000026700	Tnfsf4	GO:0002726	positive regulation of T cell cytokine production	positive_regulation_of_T_cell_cytokine_production
ENSMUSG00000026573	Xcl1	GO:0002726	positive regulation of T cell cytokine production	positive_regulation_of_T_cell_cytokine_production
ENSMUSG00000045005	Fzd5	GO:0002726	positive regulation of T cell cytokine production	positive_regulation_of_T_cell_cytokine_production
ENSMUSG00000060802	B2m	GO:0002726	positive regulation of T cell cytokine production	positive_regulation_of_T_cell_cytokine_production
ENSMUSG00000028284	Map3k7	GO:0002726	positive regulation of T cell cytokine production	positive_regulation_of_T_cell_cytokine_production
ENSMUSG00000027164	Traf6	GO:0002726	positive regulation of T cell cytokine production	positive_regulation_of_T_cell_cytokine_production
ENSMUSG00000026942	Traf2	GO:0002726	positive regulation of T cell cytokine production	positive_regulation_of_T_cell_cytokine_production
