ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000024610	Cd74	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000007817	Zmiz1	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000036594	H2-Aa	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000027720	Il2	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000037935	Smarce1	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000069729	Arid1b	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000033237	Arid2	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000036712	Cyld	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000040329	Il7	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000042323	Pbrm1	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000089773	Skint1	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000033454	Zbtb1	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000007880	Arid1a	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000025369	Smarcc2	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000024959	Bad	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000046207	Pik3r6	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000026117	Zap70	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000000869	Il4	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000032481	Smarcc1	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000022996	Wnt10b	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000027671	Actl6a	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000000902	Smarcb1	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000027776	Il12a	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000023018	Smarcd1	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000026395	Ptprc	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000028949	Smarcd3	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000031660	Brd7	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000017697	Ada	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000061311	Rag1	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000032187	Smarca4	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000030336	Cd27	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000070942	Il1rl2	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000029580	Actb	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000029712	Actl6b	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000078619	Smarcd2	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000029204	Rhoh	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000020484	Xbp1	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000026985	Il36b	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000015619	Gata3	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000026770	Il2ra	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
ENSMUSG00000027239	Mdk	GO:0045582	positive regulation of T cell differentiation	positive_regulation_of_T_cell_differentiation
