ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000032702	Kank1	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000020566	Atp6v1c2	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000019880	Rspo3	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000021611	Tert	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000024121	Atp6v0c	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000032064	Dixdc1	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000027995	Tlr2	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000005124	Ccn4	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000032852	Rspo4	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000021395	Spin1	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000074698	Csnk2a1	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000016918	Sulf1	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000028173	Wls	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000021697	Depdc1b	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000027985	Lef1	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000044548	Dact1	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000024513	Mbd2	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000051920	Rspo2	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000031665	Sall1	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000024736	Tmem132a	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000031548	Sfrp1	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000021732	Fgf10	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000043051	Disc1	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000022433	Csnk1e	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000031007	Atp6ap2	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000005362	Crbn	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000019850	Tnfaip3	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000042613	Pbxip1	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000024986	Hhex	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000042793	Lgr6	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000025162	Csnk1d	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000000125	Wnt3	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000028871	Rspo1	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000026361	Cdc73	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000030967	Zranb1	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000002633	Shh	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000032187	Smarca4	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000006800	Sulf2	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000027358	Bmp2	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
ENSMUSG00000026872	Zeb2	GO:0030177	positive regulation of Wnt signaling pathway	positive_regulation_of_Wnt_signaling_pathway
