ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000002489	Tiam1	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000075478	Slitrk1	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000031385	Plxnb3	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000032064	Dixdc1	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000030084	Plxna1	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000036606	Plxnb2	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000022055	Nefl	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000021451	Sema4d	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000022883	Robo1	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000021068	Nin	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000074785	Plxnc1	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000030890	Ilk	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000022860	Chodl	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000023800	Tiam2	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000031398	Plxna3	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000039361	Picalm	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000055254	Ntrk2	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000053646	Plxnb1	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000027833	Shox2	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000026640	Plxna2	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000050947	Amigo1	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000027660	Skil	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000026277	Stk25	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000055407	Map6	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000030123	Plxnd1	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000029765	Plxna4	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000029291	Rufy3	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000002413	Braf	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000035027	Map2k2	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000032536	Trak1	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000002274	Metrn	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000003068	Stk11	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000002546	Golga2	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000030447	Cyfip1	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000032399	Rpl4	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000004936	Map2k1	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000053510	Nrd1	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000023328	Ache	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
ENSMUSG00000026872	Zeb2	GO:0050772	positive regulation of axonogenesis	positive_regulation_of_axonogenesis
