ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022982	Sod1	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000059363	Fxn	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000033792	Atp7a	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000022346	Myc	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000021032	Ngb	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000029468	P2rx7	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000021962	Dcp1a	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000010609	Psen2	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000015750	Aph1a	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000020573	Pik3cg	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000036478	Btg1	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000047911	Npm2	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000066043	Phactr4	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000007655	Cav1	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000030805	Stx4a	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000032114	Slc37a4	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000019969	Psen1	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000030538	Cib1	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000024225	Clps	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000089774	Slc5a3	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000071649	B3gat3	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000006699	Cdc42	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000005320	Fgfr4	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000018486	Wnt9b	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000057329	Bcl2	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000032375	Aph1b	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000053040	Aph1c	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000059439	Bcas3	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000041477	Dcp1b	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000018326	Ywhab	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000003458	Ncstn	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000015656	Hspa8	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000057113	Npm1	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000028789	Azin2	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000026826	Nr4a2	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000036835	Psenen	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
ENSMUSG00000048583	Igf2	GO:0043085	positive regulation of catalytic activity	positive_regulation_of_catalytic_activity
