ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022982	Sod1	GO:0001819	positive regulation of cytokine production	positive_regulation_of_cytokine_production
ENSMUSG00000039942	Ptger4	GO:0001819	positive regulation of cytokine production	positive_regulation_of_cytokine_production
ENSMUSG00000031639	Tlr3	GO:0001819	positive regulation of cytokine production	positive_regulation_of_cytokine_production
ENSMUSG00000034266	Batf	GO:0001819	positive regulation of cytokine production	positive_regulation_of_cytokine_production
ENSMUSG00000058099	Nfam1	GO:0001819	positive regulation of cytokine production	positive_regulation_of_cytokine_production
ENSMUSG00000031712	Il15	GO:0001819	positive regulation of cytokine production	positive_regulation_of_cytokine_production
ENSMUSG00000055170	Ifng	GO:0001819	positive regulation of cytokine production	positive_regulation_of_cytokine_production
ENSMUSG00000045322	Tlr9	GO:0001819	positive regulation of cytokine production	positive_regulation_of_cytokine_production
ENSMUSG00000021994	Wnt5a	GO:0001819	positive regulation of cytokine production	positive_regulation_of_cytokine_production
ENSMUSG00000023349	Clec4n	GO:0001819	positive regulation of cytokine production	positive_regulation_of_cytokine_production
ENSMUSG00000051439	Cd14	GO:0001819	positive regulation of cytokine production	positive_regulation_of_cytokine_production
ENSMUSG00000030142	Clec4e	GO:0001819	positive regulation of cytokine production	positive_regulation_of_cytokine_production
ENSMUSG00000027995	Tlr2	GO:0001819	positive regulation of cytokine production	positive_regulation_of_cytokine_production
ENSMUSG00000058914	C1qtnf3	GO:0001819	positive regulation of cytokine production	positive_regulation_of_cytokine_production
ENSMUSG00000024810	Il33	GO:0001819	positive regulation of cytokine production	positive_regulation_of_cytokine_production
ENSMUSG00000009900	Wnt3a	GO:0001819	positive regulation of cytokine production	positive_regulation_of_cytokine_production
ENSMUSG00000049115	Agtr1a	GO:0001819	positive regulation of cytokine production	positive_regulation_of_cytokine_production
ENSMUSG00000034254	Agpat1	GO:0001819	positive regulation of cytokine production	positive_regulation_of_cytokine_production
ENSMUSG00000027718	Il21	GO:0001819	positive regulation of cytokine production	positive_regulation_of_cytokine_production
ENSMUSG00000021457	Syk	GO:0001819	positive regulation of cytokine production	positive_regulation_of_cytokine_production
