ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000033906	Zdhhc15	GO:1900006	positive regulation of dendrite development	positive_regulation_of_dendrite_development
ENSMUSG00000024924	Vldlr	GO:1900006	positive regulation of dendrite development	positive_regulation_of_dendrite_development
ENSMUSG00000029687	Ezh2	GO:1900006	positive regulation of dendrite development	positive_regulation_of_dendrite_development
ENSMUSG00000028613	Lrp8	GO:1900006	positive regulation of dendrite development	positive_regulation_of_dendrite_development
ENSMUSG00000029571	Tmem106b	GO:1900006	positive regulation of dendrite development	positive_regulation_of_dendrite_development
ENSMUSG00000028546	Elavl4	GO:1900006	positive regulation of dendrite development	positive_regulation_of_dendrite_development
ENSMUSG00000055471	Alk	GO:1900006	positive regulation of dendrite development	positive_regulation_of_dendrite_development
ENSMUSG00000049550	Clip1	GO:1900006	positive regulation of dendrite development	positive_regulation_of_dendrite_development
ENSMUSG00000038084	Opa1	GO:1900006	positive regulation of dendrite development	positive_regulation_of_dendrite_development
ENSMUSG00000068748	Ptprz1	GO:1900006	positive regulation of dendrite development	positive_regulation_of_dendrite_development
ENSMUSG00000040276	Pacsin1	GO:1900006	positive regulation of dendrite development	positive_regulation_of_dendrite_development
ENSMUSG00000003575	Crtc1	GO:1900006	positive regulation of dendrite development	positive_regulation_of_dendrite_development
ENSMUSG00000030536	Iqgap1	GO:1900006	positive regulation of dendrite development	positive_regulation_of_dendrite_development
ENSMUSG00000029838	Ptn	GO:1900006	positive regulation of dendrite development	positive_regulation_of_dendrite_development
ENSMUSG00000037942	Crp	GO:1900006	positive regulation of dendrite development	positive_regulation_of_dendrite_development
ENSMUSG00000026842	Abl1	GO:1900006	positive regulation of dendrite development	positive_regulation_of_dendrite_development
ENSMUSG00000032179	Bmp5	GO:1900006	positive regulation of dendrite development	positive_regulation_of_dendrite_development
ENSMUSG00000030447	Cyfip1	GO:1900006	positive regulation of dendrite development	positive_regulation_of_dendrite_development
ENSMUSG00000092622	Khdc3	GO:1900006	positive regulation of dendrite development	positive_regulation_of_dendrite_development
ENSMUSG00000020173	Cobl	GO:1900006	positive regulation of dendrite development	positive_regulation_of_dendrite_development
ENSMUSG00000008999	Bmp7	GO:1900006	positive regulation of dendrite development	positive_regulation_of_dendrite_development
ENSMUSG00000026883	Dab2ip	GO:1900006	positive regulation of dendrite development	positive_regulation_of_dendrite_development
