ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000021994	Wnt5a	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000026235	Epha4	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000036473	Tbc1d24	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000039086	Ss18l1	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000028173	Wls	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000030890	Ilk	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000049791	Fzd4	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000026341	Actr3	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000031292	Cdkl5	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000030309	Caprin2	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000028399	Ptprd	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000021057	Akap5	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000020132	Rab21	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000025237	Parp6	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000025423	Pias2	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000019970	Sgk1	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000037062	Sh3glb1	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000038545	Cul7	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000020389	Cdkl3	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000027692	Tnik	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000033295	Ptprf	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000021224	Numb	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000031161	Hdac6	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000052934	Fbxo31	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000034813	Grip1	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000026211	Obsl1	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000020886	Dlg4	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000032867	Fbxw8	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000068036	Afdn	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000034867	Ankrd27	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000042589	Cux2	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000026965	Anapc2	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000063160	Numbl	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000023328	Ache	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
ENSMUSG00000027184	Caprin1	GO:0050775	positive regulation of dendrite morphogenesis	positive_regulation_of_dendrite_morphogenesis
