ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000037621	Atoh8	GO:0045603	positive regulation of endothelial cell differentiation	positive_regulation_of_endothelial_cell_differentiation
ENSMUSG00000036478	Btg1	GO:0045603	positive regulation of endothelial cell differentiation	positive_regulation_of_endothelial_cell_differentiation
ENSMUSG00000039004	Bmp6	GO:0045603	positive regulation of endothelial cell differentiation	positive_regulation_of_endothelial_cell_differentiation
ENSMUSG00000072625	Gdf2	GO:0045603	positive regulation of endothelial cell differentiation	positive_regulation_of_endothelial_cell_differentiation
ENSMUSG00000000530	Acvrl1	GO:0045603	positive regulation of endothelial cell differentiation	positive_regulation_of_endothelial_cell_differentiation
ENSMUSG00000021835	Bmp4	GO:0045603	positive regulation of endothelial cell differentiation	positive_regulation_of_endothelial_cell_differentiation
ENSMUSG00000006932	Ctnnb1	GO:0045603	positive regulation of endothelial cell differentiation	positive_regulation_of_endothelial_cell_differentiation
ENSMUSG00000018377	Vezf1	GO:0045603	positive regulation of endothelial cell differentiation	positive_regulation_of_endothelial_cell_differentiation
ENSMUSG00000069763	Tmem100	GO:0045603	positive regulation of endothelial cell differentiation	positive_regulation_of_endothelial_cell_differentiation
ENSMUSG00000026923	Notch1	GO:0045603	positive regulation of endothelial cell differentiation	positive_regulation_of_endothelial_cell_differentiation
ENSMUSG00000006311	Etv2	GO:0045603	positive regulation of endothelial cell differentiation	positive_regulation_of_endothelial_cell_differentiation
