ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000035133	Arhgap5	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000026181	Ppm1f	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000055170	Ifng	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000022607	Ptk2	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000020458	Rtn4	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000010051	Hyal1	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000026383	Epb41l5	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000034330	Plcg2	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000039087	Rreb1	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000030043	Tacr1	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000032359	Ctsh	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000022425	Enpp2	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000008601	Rab25	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000015533	Itga2	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000021732	Fgf10	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000021893	Capn7	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000004655	Aqp1	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000039239	Tgfb2	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000038894	Irs2	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000067336	Bmpr2	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000079019	Insl3	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000021109	Hif1a	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000031161	Hdac6	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000004771	Rab11a	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000027646	Src	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000044447	Dock5	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000040899	Ccr6	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000016933	Plcg1	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000058325	Dock1	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000045038	Prkce	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000026175	Vil1	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000061762	Tac1	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000032440	Tgfbr2	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000018293	Pfn1	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000028480	Glipr2	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000000567	Sox9	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000001507	Itga3	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
ENSMUSG00000052684	Jun	GO:0010634	positive regulation of epithelial cell migration	positive_regulation_of_epithelial_cell_migration
