ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000021974	Fgf9	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000033792	Atp7a	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000022346	Myc	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000084128	Esrp2	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000021994	Wnt5a	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000020053	Igf1	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000021342	Prl	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000002603	Tgfb1	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000030283	St8sia1	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000026473	Glul	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000062312	Erbb2	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000037225	Fgf2	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000031520	Vegfc	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000044186	Nkx2-6	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000042745	Id1	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000006728	Cdk4	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000048402	Gli2	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000029754	Dlx6	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000010051	Hyal1	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000029755	Dlx5	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000025932	Eya1	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000022330	Osr2	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000035799	Twist1	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000028017	Egf	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000053110	Yap1	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000037458	Azin1	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000030043	Tacr1	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000039004	Bmp6	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000029563	Foxp2	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000055994	Nod2	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000043760	Pkhd1	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000004231	Pax2	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000000184	Ccnd2	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000039377	Hlx	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000031548	Sfrp1	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000062960	Kdr	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000010797	Wnt2	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000019768	Esr1	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000021732	Fgf10	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000015579	Nkx2-5	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000039519	Cyp7b1	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000030067	Foxp1	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000036585	Fgf1	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000039153	Runx2	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000024985	Tcf7l2	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000037171	Nodal	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000052957	Gas1	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000021796	Bmpr1a	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000048387	Osr1	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000037169	Mycn	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000023951	Vegfa	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000024959	Bad	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000065533	Mir205	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000058444	Map2k5	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000001761	Smo	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000018395	Kif3a	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000062209	Erbb4	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000021835	Bmp4	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000006205	Htra1	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000050100	Hmx2	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000035020	Epgn	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000032511	Scn5a	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000006538	Ihh	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000032512	Wdr48	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000002633	Shh	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000039191	Rbpj	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000032179	Bmp5	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000040728	Esrp1	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000033933	Vhl	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000048616	Nog	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000000567	Sox9	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000028341	Nr4a3	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
ENSMUSG00000029999	Tgfa	GO:0050679	positive regulation of epithelial cell proliferation	positive_regulation_of_epithelial_cell_proliferation
