ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000031906	Smpd3	GO:1903543	positive regulation of exosomal secretion	positive_regulation_of_exosomal_secretion
ENSMUSG00000031913	Vps4a	GO:1903543	positive regulation of exosomal secretion	positive_regulation_of_exosomal_secretion
ENSMUSG00000020592	Sdc1	GO:1903543	positive regulation of exosomal secretion	positive_regulation_of_exosomal_secretion
ENSMUSG00000009907	Vps4b	GO:1903543	positive regulation of exosomal secretion	positive_regulation_of_exosomal_secretion
ENSMUSG00000036622	Atp13a2	GO:1903543	positive regulation of exosomal secretion	positive_regulation_of_exosomal_secretion
ENSMUSG00000032504	Pdcd6ip	GO:1903543	positive regulation of exosomal secretion	positive_regulation_of_exosomal_secretion
ENSMUSG00000028249	Sdcbp	GO:1903543	positive regulation of exosomal secretion	positive_regulation_of_exosomal_secretion
ENSMUSG00000017009	Sdc4	GO:1903543	positive regulation of exosomal secretion	positive_regulation_of_exosomal_secretion
ENSMUSG00000079477	Rab7	GO:1903543	positive regulation of exosomal secretion	positive_regulation_of_exosomal_secretion
ENSMUSG00000006058	Snf8	GO:1903543	positive regulation of exosomal secretion	positive_regulation_of_exosomal_secretion
ENSMUSG00000033916	Chmp2a	GO:1903543	positive regulation of exosomal secretion	positive_regulation_of_exosomal_secretion
ENSMUSG00000014402	Tsg101	GO:1903543	positive regulation of exosomal secretion	positive_regulation_of_exosomal_secretion
ENSMUSG00000025793	Hgs	GO:1903543	positive regulation of exosomal secretion	positive_regulation_of_exosomal_secretion
ENSMUSG00000026718	Stam	GO:1903543	positive regulation of exosomal secretion	positive_regulation_of_exosomal_secretion
