ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000024947	Men1	GO:2000271	positive regulation of fibroblast apoptotic process	positive_regulation_of_fibroblast_apoptotic_process
ENSMUSG00000024521	Pmaip1	GO:2000271	positive regulation of fibroblast apoptotic process	positive_regulation_of_fibroblast_apoptotic_process
ENSMUSG00000030717	Nupr1	GO:2000271	positive regulation of fibroblast apoptotic process	positive_regulation_of_fibroblast_apoptotic_process
ENSMUSG00000036478	Btg1	GO:2000271	positive regulation of fibroblast apoptotic process	positive_regulation_of_fibroblast_apoptotic_process
ENSMUSG00000026094	Stk17b	GO:2000271	positive regulation of fibroblast apoptotic process	positive_regulation_of_fibroblast_apoptotic_process
ENSMUSG00000031548	Sfrp1	GO:2000271	positive regulation of fibroblast apoptotic process	positive_regulation_of_fibroblast_apoptotic_process
ENSMUSG00000022510	Trp63	GO:2000271	positive regulation of fibroblast apoptotic process	positive_regulation_of_fibroblast_apoptotic_process
ENSMUSG00000038037	Socs1	GO:2000271	positive regulation of fibroblast apoptotic process	positive_regulation_of_fibroblast_apoptotic_process
ENSMUSG00000075028	Prdm11	GO:2000271	positive regulation of fibroblast apoptotic process	positive_regulation_of_fibroblast_apoptotic_process
ENSMUSG00000004446	Bid	GO:2000271	positive regulation of fibroblast apoptotic process	positive_regulation_of_fibroblast_apoptotic_process
ENSMUSG00000002083	Bbc3	GO:2000271	positive regulation of fibroblast apoptotic process	positive_regulation_of_fibroblast_apoptotic_process
ENSMUSG00000027381	Bcl2l11	GO:2000271	positive regulation of fibroblast apoptotic process	positive_regulation_of_fibroblast_apoptotic_process
