ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000031715	Smarca5	GO:0031065	positive regulation of histone deacetylation	positive_regulation_of_histone_deacetylation
ENSMUSG00000022141	Nipbl	GO:0031065	positive regulation of histone deacetylation	positive_regulation_of_histone_deacetylation
ENSMUSG00000020063	Sirt1	GO:0031065	positive regulation of histone deacetylation	positive_regulation_of_histone_deacetylation
ENSMUSG00000002603	Tgfb1	GO:0031065	positive regulation of histone deacetylation	positive_regulation_of_histone_deacetylation
ENSMUSG00000063049	Ing2	GO:0031065	positive regulation of histone deacetylation	positive_regulation_of_histone_deacetylation
ENSMUSG00000030888	Rrp8	GO:0031065	positive regulation of histone deacetylation	positive_regulation_of_histone_deacetylation
ENSMUSG00000039231	Suv39h1	GO:0031065	positive regulation of histone deacetylation	positive_regulation_of_histone_deacetylation
ENSMUSG00000036986	Pml	GO:0031065	positive regulation of histone deacetylation	positive_regulation_of_histone_deacetylation
ENSMUSG00000044338	Aplnr	GO:0031065	positive regulation of histone deacetylation	positive_regulation_of_histone_deacetylation
ENSMUSG00000037373	Ctbp1	GO:0031065	positive regulation of histone deacetylation	positive_regulation_of_histone_deacetylation
