ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022967	Ifnar1	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000068105	Tnfrsf13c	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000031639	Tlr3	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000022378	Cyrib	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000045322	Tlr9	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000021994	Wnt5a	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000039217	Il18	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000024789	Jak2	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000051439	Cd14	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000031101	Sash3	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000027720	Il2	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000027718	Il21	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000054892	Txk	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000035678	Tnfsf9	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000044701	Il27	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000039005	Tlr4	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000021699	Pde4d	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000038304	Cd160	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000032021	Crtam	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000025980	Hspd1	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000027863	Cd2	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000034028	Cd226	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000042258	Isl1	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000025383	Il23a	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000004296	Il12b	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000016206	H2-M3	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000035914	Cd276	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000040522	Tlr8	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000044583	Tlr7	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000050241	Klre1	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000020399	Havcr2	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000079685	Ulbp1	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000030149	Klrk1	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000021678	F2rl1	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000056130	Ticam2	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000027843	Ptpn22	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000030793	Pycard	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000026700	Tnfsf4	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000032175	Tyk2	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000022568	Scrib	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000053175	Bcl3	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000065397	Mir155	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000022892	App	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000032093	Cd3e	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
ENSMUSG00000037447	Arid5a	GO:0032729	positive regulation of interferon-gamma production	positive_regulation_of_interferon-gamma_production
