ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000021248	Tmed10	GO:0032732	positive regulation of interleukin-1 production	positive_regulation_of_interleukin-1_production
ENSMUSG00000019777	Hdac2	GO:0032732	positive regulation of interleukin-1 production	positive_regulation_of_interleukin-1_production
ENSMUSG00000058441	Panx2	GO:0032732	positive regulation of interleukin-1 production	positive_regulation_of_interleukin-1_production
ENSMUSG00000104213	Ighd	GO:0032732	positive regulation of interleukin-1 production	positive_regulation_of_interleukin-1_production
ENSMUSG00000011118	Panx3	GO:0032732	positive regulation of interleukin-1 production	positive_regulation_of_interleukin-1_production
ENSMUSG00000039005	Tlr4	GO:0032732	positive regulation of interleukin-1 production	positive_regulation_of_interleukin-1_production
ENSMUSG00000031934	Panx1	GO:0032732	positive regulation of interleukin-1 production	positive_regulation_of_interleukin-1_production
ENSMUSG00000020399	Havcr2	GO:0032732	positive regulation of interleukin-1 production	positive_regulation_of_interleukin-1_production
ENSMUSG00000066551	Hmgb1	GO:0032732	positive regulation of interleukin-1 production	positive_regulation_of_interleukin-1_production
ENSMUSG00000022575	Gsdmd	GO:0032732	positive regulation of interleukin-1 production	positive_regulation_of_interleukin-1_production
ENSMUSG00000001123	Lgals9	GO:0032732	positive regulation of interleukin-1 production	positive_regulation_of_interleukin-1_production
