ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000027680	Fxr1	GO:2000637	positive regulation of miRNA-mediated gene silencing	positive_regulation_of_miRNA-mediated_gene_silencing
ENSMUSG00000028580	Pum1	GO:2000637	positive regulation of miRNA-mediated gene silencing	positive_regulation_of_miRNA-mediated_gene_silencing
ENSMUSG00000028163	Nfkb1	GO:2000637	positive regulation of miRNA-mediated gene silencing	positive_regulation_of_miRNA-mediated_gene_silencing
ENSMUSG00000020594	Pum2	GO:2000637	positive regulation of miRNA-mediated gene silencing	positive_regulation_of_miRNA-mediated_gene_silencing
ENSMUSG00000030846	Tial1	GO:2000637	positive regulation of miRNA-mediated gene silencing	positive_regulation_of_miRNA-mediated_gene_silencing
ENSMUSG00000000838	Fmr1	GO:2000637	positive regulation of miRNA-mediated gene silencing	positive_regulation_of_miRNA-mediated_gene_silencing
ENSMUSG00000022178	Ajuba	GO:2000637	positive regulation of miRNA-mediated gene silencing	positive_regulation_of_miRNA-mediated_gene_silencing
ENSMUSG00000079259	Trim71	GO:2000637	positive regulation of miRNA-mediated gene silencing	positive_regulation_of_miRNA-mediated_gene_silencing
ENSMUSG00000025239	Limd1	GO:2000637	positive regulation of miRNA-mediated gene silencing	positive_regulation_of_miRNA-mediated_gene_silencing
ENSMUSG00000036459	Wtip	GO:2000637	positive regulation of miRNA-mediated gene silencing	positive_regulation_of_miRNA-mediated_gene_silencing
ENSMUSG00000044786	Zfp36	GO:2000637	positive regulation of miRNA-mediated gene silencing	positive_regulation_of_miRNA-mediated_gene_silencing
